time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-04-09 17:42:18.792137,26.16,101154.11,25.49,14.24,6.80,-1.00,2.82,-1.56,0.02,0.22,111,-1
2021-04-09 17:42:19.077387,26.15,101155.65,25.34,14.11,5.37,-2.47,8.43,0.75,-0.00,-0.28,166,-1
2021-04-09 17:42:19.557370,26.16,101152.62,25.15,14.36,2.95,-0.52,10.18,-1.04,-1.09,-0.78,729,-1
2021-04-09 17:42:20.036647,26.18,101152.02,25.15,14.41,2.73,0.31,11.39,-0.30,-0.22,-0.35,776,-1
2021-04-09 17:42:20.517573,26.18,101155.17,25.12,14.15,3.62,0.59,8.81,0.33,0.43,-0.46,629,-1
2021-04-09 17:42:20.997160,26.18,101152.52,25.08,14.37,1.92,2.22,9.35,0.50,-0.10,0.53,1294,-1
2021-04-09 17:42:21.476885,26.20,101152.92,25.00,14.34,2.02,3.24,9.00,-1.27,-1.08,0.89,1421,-1
2021-04-09 17:42:21.957362,26.21,101154.01,25.32,14.25,3.46,1.05,9.24,-0.50,-0.57,-0.31,647,-1
2021-04-09 17:42:22.437476,26.27,101158.08,26.44,13.91,4.03,-0.42,8.38,0.49,-0.70,-0.31,517,-1
2021-04-09 17:42:22.917373,26.36,101158.84,29.53,13.84,4.29,-1.08,5.64,-1.40,-1.88,0.32,273,-1
2021-04-09 17:42:23.397359,26.47,101165.30,35.58,13.31,4.19,0.90,8.03,2.11,-0.71,-0.19,355,-1
2021-04-09 17:42:23.877374,26.50,101163.27,42.62,13.47,2.20,-1.19,10.77,-0.65,-0.43,0.43,286,-1
2021-04-09 17:42:24.357432,26.46,101165.84,49.07,13.26,1.12,-1.58,9.34,-0.12,0.35,0.26,871,-1
2021-04-09 17:42:24.837369,26.60,101166.11,53.26,13.24,2.49,-3.02,9.10,-0.36,-0.06,-0.15,741,-1
2021-04-09 17:42:25.317422,26.93,101164.62,56.45,13.36,3.14,-2.62,10.47,0.17,-0.49,0.43,339,-1
2021-04-09 17:42:25.797459,27.03,101170.62,60.75,12.86,5.23,-3.24,9.38,-0.12,0.24,-0.48,238,-1
2021-04-09 17:42:26.277499,26.77,101172.70,64.84,12.69,7.66,-2.76,8.17,0.19,-1.10,0.10,676,-1
2021-04-09 17:42:26.757384,26.81,101162.55,68.23,13.53,5.47,-0.66,8.70,-0.63,-0.32,-0.13,475,-1
2021-04-09 17:42:27.237364,27.26,101167.42,70.99,13.13,4.28,-0.79,8.44,-0.26,-0.09,0.14,330,-1
2021-04-09 17:42:27.717836,26.93,101175.07,73.71,12.49,5.31,-2.42,9.22,0.07,-0.14,-0.08,2138,-1
2021-04-09 17:42:28.196769,26.99,101167.01,75.77,13.16,4.06,-1.87,9.11,-0.01,0.15,0.27,2504,-1
2021-04-09 17:42:28.676910,27.38,101172.08,77.18,12.74,4.43,-2.09,8.39,-0.19,0.04,0.01,2304,-1
2021-04-09 17:42:29.157438,27.66,101170.66,79.11,12.86,4.39,-2.33,8.82,-0.19,0.18,-0.26,271,-1
2021-04-09 17:42:29.637459,27.30,101177.23,80.96,12.31,4.50,-2.27,8.49,-0.14,0.07,-0.34,2365,-1
2021-04-09 17:42:30.117211,27.20,101166.23,82.10,13.23,5.23,-2.13,9.11,0.34,-0.25,0.32,749,-1
2021-04-09 17:42:30.596714,27.70,101173.59,82.76,12.61,5.37,-2.71,9.51,0.21,-0.19,0.58,3583,-1
2021-04-09 17:42:31.076891,27.86,101173.65,84.05,12.60,4.27,-3.71,9.22,-0.94,0.78,-2.11,1551,-1
2021-04-09 17:42:31.557413,27.95,101175.05,85.37,12.49,5.16,0.99,9.19,-0.17,0.14,-1.55,411,-1
2021-04-09 17:42:32.038457,27.72,101178.92,86.59,12.17,5.04,0.14,6.00,-0.37,-0.26,0.49,653,-1
2021-04-09 17:42:32.517357,27.42,101173.75,87.47,12.60,6.41,-1.21,9.49,1.41,0.09,1.67,3148,-1
2021-04-09 17:42:32.997425,27.88,101172.66,88.07,12.69,3.38,-0.41,10.00,0.50,-0.35,1.55,1299,-1
2021-04-09 17:42:33.477422,28.04,101176.45,88.80,12.37,3.91,-4.85,6.72,-0.09,-0.18,0.69,2595,-1
2021-04-09 17:42:33.957390,28.10,101174.58,89.61,12.53,4.69,-3.62,8.27,-0.49,0.94,-1.78,633,-1
2021-04-09 17:42:34.436786,27.57,101184.66,90.21,11.69,3.82,-1.68,7.70,-0.02,0.47,-1.96,905,-1
2021-04-09 17:42:34.917347,27.28,101172.69,89.27,12.69,5.96,0.64,7.96,-2.81,-0.01,-1.28,2453,-1
2021-04-09 17:42:35.397452,27.54,101174.50,87.56,12.54,5.16,0.28,8.44,1.01,0.06,-0.64,4902,-1
2021-04-09 17:42:35.877388,27.76,101173.67,86.91,12.61,4.99,1.22,8.72,0.48,-0.31,0.14,2949,-1
2021-04-09 17:42:36.357394,27.85,101176.63,87.32,12.36,4.86,0.54,8.66,0.28,0.92,0.26,1807,-1
2021-04-09 17:42:36.837398,27.90,101177.20,88.14,12.31,3.34,-1.58,10.02,-0.57,0.14,-1.74,8653,-1
2021-04-09 17:42:37.317423,27.84,101172.42,88.84,12.71,5.50,-1.11,7.54,0.60,-0.58,0.02,6064,-1
2021-04-09 17:42:37.797433,27.99,101176.38,89.43,12.38,5.31,-0.62,9.32,1.26,0.32,0.80,14274,-1
2021-04-09 17:42:38.276774,28.66,101178.48,90.14,12.21,0.28,-0.09,11.11,0.10,0.83,0.89,3390,-1
2021-04-09 17:42:38.757315,28.46,101185.75,90.80,11.60,-1.28,0.22,9.87,0.05,-0.15,0.10,25681,-1
2021-04-09 17:42:39.237852,28.23,101169.78,90.61,12.93,4.34,-0.85,10.04,1.19,-1.17,-1.00,3463,-1
2021-04-09 17:42:39.717466,28.20,101181.94,90.20,11.92,6.95,0.60,6.88,0.33,-0.06,-0.80,22851,-1
2021-04-09 17:42:40.197440,28.39,101180.33,90.11,12.05,5.57,1.90,7.98,-0.98,-0.19,-0.14,5175,-1
2021-04-09 17:42:40.677416,28.40,101183.65,90.33,11.78,5.85,1.07,7.93,0.08,-0.27,-0.45,8969,-1
2021-04-09 17:42:41.157007,28.40,101176.89,89.47,12.34,6.66,2.30,7.50,0.17,0.04,-0.06,5983,-1
2021-04-09 17:42:41.637402,28.57,101179.88,88.89,12.09,4.89,1.60,8.58,-0.39,0.62,-0.02,3458,-1
2021-04-09 17:42:42.117461,28.71,101182.59,89.07,11.86,2.97,0.12,8.93,-1.40,1.08,-0.12,5115,-1
2021-04-09 17:42:42.597441,28.82,101185.92,89.58,11.59,2.42,5.77,8.40,4.36,2.06,3.25,2504,-1
2021-04-09 17:42:43.077499,28.92,101186.42,90.18,11.54,0.93,6.04,8.65,-0.20,0.13,0.12,2079,-1
2021-04-09 17:42:43.557415,29.20,101180.95,90.87,12.00,-0.21,4.30,10.11,0.26,0.65,0.30,440,-1
2021-04-09 17:42:44.037416,29.10,101190.47,91.50,11.21,-1.45,5.27,8.28,0.29,0.27,0.12,273,-1
