time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-04-10 11:45:46.462337,25.83,101560.11,27.57,-19.56,-8.31,-6.30,1.90,0.81,-0.83,0.07,233,-1
2021-04-10 11:45:46.838749,25.83,101557.18,27.67,-19.31,-8.25,-5.03,2.02,0.80,-0.89,-0.69,539,-1
2021-04-10 11:45:47.318651,25.83,101556.69,27.77,-19.27,-8.16,-3.96,3.93,0.65,-0.20,1.71,1538,-1
2021-04-10 11:45:47.798871,25.83,101557.02,27.85,-19.30,-8.56,-3.99,4.37,-1.21,0.42,-0.61,723,-1
2021-04-10 11:45:48.278587,25.83,101556.69,28.01,-19.27,-8.15,-2.55,3.62,0.22,0.19,0.12,589,-1
2021-04-10 11:45:48.758551,25.83,101552.88,28.06,-18.96,-9.00,-1.79,3.36,1.30,0.41,0.28,1277,-1
2021-04-10 11:45:49.238582,25.83,101480.91,28.21,-12.97,-9.73,-1.11,3.70,1.52,-0.01,-0.31,8926,-1
2021-04-10 11:45:49.718537,25.82,101461.84,28.59,-11.39,-7.94,-2.86,3.73,-0.11,-0.25,-0.26,4129,-1
2021-04-10 11:45:50.198614,25.81,101589.27,28.87,-21.98,-7.52,-2.95,4.84,0.58,-0.49,-0.22,28322,-1
2021-04-10 11:45:50.678637,27.25,101677.23,30.16,-29.28,-7.22,-3.25,9.82,-0.07,0.02,-0.28,25610,-1
2021-04-10 11:45:51.158587,28.77,101600.47,36.75,-22.91,-8.03,-3.01,5.48,-0.24,0.55,0.33,2195,-1
2021-04-10 11:45:51.637898,28.82,101591.98,44.76,-22.20,-7.81,-2.15,4.80,-0.33,-0.60,-0.14,5833,-1
2021-04-10 11:45:52.118972,28.45,101304.46,51.87,1.71,-5.15,-1.82,5.60,-0.52,-0.73,0.03,18379,-1
2021-04-10 11:45:52.598525,27.38,101635.80,57.76,-25.84,-8.42,-3.94,8.99,-0.36,1.38,1.00,19248,-1
2021-04-10 11:45:53.079121,28.21,101719.28,62.90,-32.77,-10.56,-2.31,5.15,-0.81,0.95,0.13,18340,-1
2021-04-10 11:45:53.558801,29.33,101599.77,67.46,-22.85,-9.20,0.58,0.24,-0.34,0.13,0.09,4253,-1
2021-04-10 11:45:54.038492,29.22,101502.91,71.27,-14.80,-9.57,-0.45,3.12,0.23,-0.71,-0.53,2380,-1
