time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-04-10 12:08:12.442446,29.71,101570.90,23.35,-20.45,-0.98,-2.68,9.54,0.06,-0.07,-0.04,84,-1
2021-04-10 12:08:12.714174,29.71,101572.79,23.40,-20.61,-0.98,-2.68,9.53,0.06,-0.07,-0.05,240,-1
2021-04-10 12:08:13.194133,29.69,101573.40,23.40,-20.66,-0.98,-2.68,9.52,0.08,-0.07,-0.05,110,-1
2021-04-10 12:08:13.673976,29.68,101571.12,23.45,-20.47,-0.99,-2.68,9.53,0.10,-0.07,-0.04,2355,-1
2021-04-10 12:08:14.154152,29.67,101571.62,23.47,-20.56,-0.96,-2.42,9.61,0.21,-0.06,-0.04,378,-1
2021-04-10 12:08:14.634146,29.65,101571.12,23.50,-20.47,-3.78,-4.72,7.80,-0.50,-4.57,1.21,130,-1
2021-04-10 12:08:15.114790,29.58,101567.32,23.46,-20.15,-8.15,-1.76,8.57,-0.04,1.58,0.38,2720,-1
2021-04-10 12:08:15.594113,29.56,101569.05,23.59,-20.30,-5.65,-3.45,8.82,-0.13,0.47,-0.43,2663,-1
2021-04-10 12:08:16.073990,29.54,101565.82,23.63,-20.03,-6.11,-0.24,6.44,-1.40,0.31,-0.43,3328,-1
2021-04-10 12:08:16.554058,29.53,101565.93,23.84,-20.04,-7.62,0.28,7.03,-0.46,0.17,0.94,1084,-1
2021-04-10 12:08:17.034066,29.53,101564.93,25.04,-19.96,-7.96,-0.41,4.46,-0.25,-0.51,-0.17,1096,-1
2021-04-10 12:08:17.514156,29.49,101558.48,26.81,-19.42,-7.79,-0.84,5.42,-0.06,0.01,0.21,701,-1
2021-04-10 12:08:17.994072,29.43,101561.43,28.05,-19.67,-8.24,-0.75,4.93,1.13,-0.03,-0.55,865,-1
2021-04-10 12:08:18.474640,29.40,101614.77,28.66,-24.10,-8.28,-0.99,4.91,-0.51,-0.23,-0.05,16413,-1
2021-04-10 12:08:18.954706,30.21,101581.75,32.04,-21.35,-9.30,0.12,5.09,-0.08,-0.29,-0.04,5277,-1
2021-04-10 12:08:19.434066,30.44,101580.43,41.05,-21.24,-6.53,-0.39,8.02,-0.68,-0.21,-0.10,975,-1
2021-04-10 12:08:19.914054,30.38,101564.44,50.00,-19.92,-7.43,-1.59,6.73,0.23,0.03,0.02,946,-1
2021-04-10 12:08:20.393421,29.65,101590.95,57.45,-22.12,-7.58,-0.64,6.42,0.67,0.01,-0.15,40953,-1
2021-04-10 12:08:20.873862,30.04,101575.04,63.18,-20.80,-7.50,0.05,6.72,1.27,-0.19,-0.87,38450,-1
2021-04-10 12:08:21.354566,30.95,101586.80,68.10,-21.77,-7.42,0.52,7.14,0.12,-0.09,-0.44,1033,-1
2021-04-10 12:08:21.833552,30.97,101586.20,72.47,-21.72,-7.03,-3.67,6.85,-0.10,-0.28,-0.69,571,-1
2021-04-10 12:08:22.313229,30.26,101585.80,76.18,-21.69,-8.31,-0.44,3.83,-0.35,0.17,0.43,428,-1
2021-04-10 12:08:22.793851,29.80,101587.67,79.19,-21.85,-7.67,-3.54,4.83,1.08,0.07,0.36,38956,-1
2021-04-10 12:08:23.274079,30.76,101574.71,81.43,-20.77,-7.37,-2.01,6.86,-0.42,-0.47,0.26,16262,-1
2021-04-10 12:08:23.753874,31.34,101593.77,83.57,-22.35,-7.47,-1.69,6.89,-0.21,-0.01,0.24,142,-1
2021-04-10 12:08:24.233930,31.05,101594.28,85.50,-22.40,-7.22,-1.21,6.84,0.49,-0.05,-0.08,392,-1
2021-04-10 12:08:24.714034,30.64,101594.10,87.14,-22.38,-7.20,-2.16,6.54,0.13,0.10,-0.15,803,-1
2021-04-10 12:08:25.193816,30.21,101592.31,88.52,-22.23,-8.17,-1.74,6.50,0.00,-0.12,0.08,250,-1
2021-04-10 12:08:25.673915,30.08,101584.50,89.67,-21.58,-7.00,-1.77,5.97,0.02,0.06,-0.13,504,-1
2021-04-10 12:08:26.153720,30.00,101589.71,90.62,-22.02,-9.71,-0.99,6.75,0.46,0.30,0.92,2697,-1
2021-04-10 12:08:26.633633,29.96,101611.52,90.69,-23.83,-5.55,-1.23,4.98,0.36,0.27,-1.08,12193,-1
2021-04-10 12:08:27.113878,30.35,101597.70,90.64,-22.68,-7.76,-1.45,5.55,0.84,0.13,-0.24,8844,-1
2021-04-10 12:08:27.593688,30.43,101592.67,91.33,-22.26,-10.77,0.11,7.29,-0.92,-0.73,0.83,2024,-1
2021-04-10 12:08:28.073889,30.54,101595.44,92.09,-22.49,-5.32,-1.00,5.45,0.05,0.26,0.67,894,-1
2021-04-10 12:08:28.553867,30.33,101598.75,92.72,-22.77,-12.24,0.05,8.54,-1.36,0.07,0.48,528,-1
2021-04-10 12:08:29.033743,30.21,101591.59,93.07,-22.17,-7.94,-1.97,6.57,-1.51,-0.28,0.63,236,-1
