time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-04-16 16:24:47.294808,26.99,101380.16,56.85,-4.59,-9.87,-0.89,0.78,0.19,-0.06,0.00,725,-1
2021-04-16 16:24:47.429085,27.03,101379.91,58.04,-4.57,-10.09,-0.82,0.81,0.23,-0.04,-0.02,5680,-1
2021-04-16 16:24:47.909028,27.05,101379.55,60.33,-4.54,-9.63,-0.96,1.18,-0.05,0.03,0.00,5706,-1
2021-04-16 16:24:48.389108,27.09,101341.64,63.20,-1.38,-9.84,-0.49,0.84,0.23,-0.00,0.01,1866,-1
2021-04-16 16:24:48.869122,27.08,101228.55,66.34,8.03,-10.03,-1.05,0.92,0.04,-0.05,-0.06,1139,-1
2021-04-16 16:24:49.349172,27.01,101243.38,68.50,6.71,-9.81,-0.56,0.64,0.07,-0.02,0.02,942,-1
2021-04-16 16:24:49.829144,26.99,101361.03,68.07,-3.00,-9.68,-0.48,0.50,0.04,-0.05,-0.03,3644,-1
2021-04-16 16:24:50.309183,27.01,101374.04,65.85,-4.08,-9.69,-0.50,0.62,0.11,-0.05,-0.04,970,-1
2021-04-16 16:24:50.789119,27.09,101378.08,63.80,-4.42,-9.87,-0.57,0.72,0.09,-0.04,-0.03,1452,-1
2021-04-16 16:24:51.269151,27.15,101377.82,64.08,-4.40,-9.97,-0.74,0.70,0.01,0.17,-0.03,1149,-1
2021-04-16 16:24:51.749136,27.21,101379.25,66.18,-4.52,-10.17,-0.52,-0.72,-0.32,0.51,0.02,3032,-1
2021-04-16 16:24:52.229135,27.21,101218.95,69.04,8.83,-9.75,0.02,-1.91,-0.31,-0.14,-0.00,822,-1
2021-04-16 16:24:52.709229,27.12,101205.75,71.47,9.93,-9.60,-0.47,-1.20,0.14,-0.23,-0.04,2348,-1
2021-04-16 16:24:53.189246,27.08,101209.24,71.80,9.64,-10.13,-0.18,0.17,0.05,-0.29,0.04,1284,-1
2021-04-16 16:24:53.669251,27.07,101179.10,69.85,12.15,-9.61,-0.61,1.06,-0.42,-0.50,0.00,9353,-1
2021-04-16 16:24:54.149303,27.08,101375.30,66.61,-4.19,-9.26,-0.61,3.87,-0.72,-0.53,0.04,2014,-1
2021-04-16 16:24:54.629276,27.14,101374.66,63.08,-4.13,-9.09,-0.72,4.11,-0.09,-0.01,-0.07,1926,-1
2021-04-16 16:24:55.109320,27.21,101374.88,62.04,-4.15,-9.08,-0.64,3.90,-0.22,0.10,-0.13,1244,-1
2021-04-16 16:24:55.589273,27.27,101377.62,64.00,-4.38,-9.34,-1.64,3.34,-0.20,0.07,-0.08,1189,-1
2021-04-16 16:24:56.069303,27.33,101382.38,67.05,-4.78,-9.51,-2.76,3.13,0.22,0.12,0.00,827,-1
2021-04-16 16:24:56.549259,27.36,101385.24,70.28,-5.01,-9.38,-1.55,2.39,1.28,0.57,-0.01,800,-1
2021-04-16 16:24:57.029213,27.39,101388.69,73.25,-5.30,-10.75,-0.63,0.84,2.00,0.30,-0.01,1394,-1
2021-04-16 16:24:57.509314,27.39,101386.75,75.97,-5.14,-10.50,0.17,0.58,0.73,-0.05,0.23,10561,-1
2021-04-16 16:24:57.989409,27.38,101200.57,78.30,10.36,-10.67,-0.18,-1.36,0.83,0.45,0.08,2199,-1
