time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-04-16 16:39:09.669850,26.97,101394.69,60.61,-5.80,-9.23,-0.85,4.42,0.08,0.10,0.05,9210,-1
2021-04-16 16:39:10.065849,27.52,101384.12,60.46,-4.92,-9.41,-0.67,3.45,0.04,0.25,0.01,2634,-1
2021-04-16 16:39:10.545878,28.01,101390.98,63.98,-5.95,-8.83,-0.34,3.73,0.80,-0.02,0.35,3706,-1
2021-04-16 16:39:11.025827,28.36,101385.09,68.32,-5.00,-9.43,-0.88,2.29,0.02,0.04,-0.05,1773,-1
2021-04-16 16:39:11.505388,28.53,101379.05,72.23,-4.50,-7.92,-0.35,3.06,0.00,0.18,0.09,3889,-1
2021-04-16 16:39:11.985930,28.37,101234.08,75.65,7.57,-9.45,-0.77,1.72,-0.04,-0.02,0.02,2472,-1
2021-04-16 16:39:12.465586,27.85,101192.69,78.47,11.02,-10.14,-0.78,1.78,0.11,0.33,0.12,2597,-1
2021-04-16 16:39:12.945914,27.51,101191.98,80.91,11.08,-9.84,-0.62,1.17,-0.06,0.15,-0.10,1587,-1
2021-04-16 16:39:13.426046,27.31,101299.71,82.93,2.11,-9.71,-0.94,0.96,0.20,0.17,-0.07,5917,-1
2021-04-16 16:39:13.905972,27.52,101383.02,84.50,-4.83,-10.01,-1.04,0.41,-0.13,0.25,0.09,1777,-1
2021-04-16 16:39:14.386056,27.97,101386.92,85.85,-5.15,-10.02,-0.99,-0.43,0.18,0.25,0.05,1497,-1
2021-04-16 16:39:14.866096,28.18,101388.96,87.24,-5.32,-9.77,0.85,-0.68,0.07,-0.05,0.29,1246,-1
2021-04-16 16:39:15.346038,28.22,101387.45,88.41,-5.20,-9.61,-1.08,-0.94,0.01,0.08,-0.06,5815,-1
2021-04-16 16:39:15.826034,28.08,101157.56,89.53,13.95,-9.68,-1.45,-1.24,0.05,0.05,0.07,1452,-1
2021-04-16 16:39:16.306032,27.64,101190.97,90.34,11.17,-9.71,-1.53,-1.34,-0.01,0.07,0.01,924,-1
2021-04-16 16:39:16.786076,27.53,101267.59,90.39,4.78,-9.67,-1.53,-1.50,-0.01,0.07,0.03,10071,-1
2021-04-16 16:39:17.266052,27.67,101396.95,88.49,-5.99,-9.64,-1.46,-0.88,0.03,0.06,0.05,14871,-1
2021-04-16 16:39:17.746009,27.94,101390.62,87.60,-5.46,-9.67,-1.32,-0.91,0.01,0.08,0.07,4351,-1
2021-04-16 16:39:18.225808,28.02,101344.27,88.23,-1.60,-9.77,-1.51,-0.80,0.07,-0.02,0.04,1974,-1
2021-04-16 16:39:18.706001,27.83,101384.86,89.08,-4.98,-9.75,-2.01,0.27,0.56,-0.38,0.22,35476,-1
2021-04-16 16:39:19.186139,27.81,101361.27,89.25,-3.02,-9.83,-1.29,1.10,0.01,0.06,0.02,1052,-1
2021-04-16 16:39:19.666040,27.85,101384.82,88.81,-4.98,-9.81,-1.29,1.15,-0.09,0.08,0.06,2703,-1
2021-04-16 16:39:20.146146,27.86,101241.09,88.46,6.99,-9.87,-1.47,0.89,-0.12,0.15,-0.03,913,-1
2021-04-16 16:39:20.625962,27.80,101236.80,87.52,7.35,-9.93,-1.35,0.82,0.01,0.05,-0.02,4460,-1
2021-04-16 16:39:21.106127,27.85,101380.66,84.30,-4.63,-9.91,-1.21,1.12,0.09,0.08,0.09,7891,-1
2021-04-16 16:39:21.586149,27.93,101385.41,82.51,-5.03,-9.24,-0.57,0.70,0.16,0.11,0.20,37645,-1
2021-04-16 16:39:22.066084,27.99,101385.77,82.64,-5.06,-9.73,-0.29,0.52,0.03,0.19,0.08,38088,-1
2021-04-16 16:39:22.546089,28.13,101380.91,83.50,-4.65,-10.13,-0.66,0.58,0.01,0.08,0.05,38549,-1
2021-04-16 16:39:23.026550,28.47,101386.71,84.93,-5.14,-9.67,-0.35,1.47,-0.70,-0.37,0.16,24251,-1
2021-04-16 16:39:23.505928,28.48,101388.56,86.48,-5.29,-9.68,-1.12,2.36,-0.37,-0.19,0.19,2172,-1
2021-04-16 16:39:23.986247,28.82,101391.28,87.97,-5.52,-9.18,-0.92,4.84,-0.11,-0.05,-0.01,1926,-1
2021-04-16 16:39:24.466161,29.11,101252.20,89.23,6.06,-9.39,-1.21,3.42,-0.03,0.13,0.13,1138,-1
2021-04-16 16:39:24.945983,28.62,101223.94,90.29,8.42,-9.22,-0.68,3.43,0.17,0.01,0.23,1263,-1
2021-04-16 16:39:25.426198,28.21,101238.54,91.13,6.11,-9.45,-0.94,3.12,0.06,0.07,0.07,689,-1
2021-04-16 16:39:25.906084,28.11,101388.94,91.82,-5.32,-9.42,-0.84,3.24,-0.00,0.07,0.05,528,-1
2021-04-16 16:39:26.390157,28.47,101386.57,92.28,-5.12,-9.37,-0.83,3.47,0.03,0.07,0.02,575,-1
2021-04-16 16:39:26.866029,28.81,101390.00,92.74,-5.41,-9.43,-0.88,3.61,0.02,0.07,0.00,555,-1
2021-04-16 16:39:27.346107,29.02,101388.14,93.28,-5.26,-9.38,-0.78,3.56,-0.00,0.09,0.05,453,-1
2021-04-16 16:39:27.826169,29.16,101387.27,93.82,-5.18,-9.45,-0.75,3.56,0.01,0.07,0.04,443,-1
2021-04-16 16:39:28.306166,29.25,101340.31,94.27,-1.27,-9.39,-0.71,3.56,-0.04,0.02,0.01,1075,-1
2021-04-16 16:39:28.786282,29.05,101256.11,94.59,5.74,-9.35,-0.75,3.25,-0.01,0.09,0.04,819,-1
2021-04-16 16:39:29.265477,28.62,101263.30,94.86,5.14,-9.45,-0.76,3.18,-0.01,0.10,0.06,765,-1
2021-04-16 16:39:29.747007,28.43,101264.39,95.00,5.05,-9.38,-0.68,3.28,0.01,0.06,0.02,4428,-1
2021-04-16 16:39:30.226017,28.56,101390.58,94.34,-5.46,-9.35,-0.75,3.48,-0.01,0.07,0.04,2675,-1
2021-04-16 16:39:30.706102,29.16,101389.27,93.81,-5.35,-9.41,-0.76,3.69,0.02,0.08,0.04,1530,-1
2021-04-16 16:39:31.186589,29.66,101387.75,94.04,-5.22,-9.37,-0.73,3.77,0.02,0.09,0.05,944,-1
2021-04-16 16:39:31.667403,29.83,101393.44,94.44,-5.70,-9.39,-0.79,3.75,0.01,0.08,0.07,650,-1
2021-04-16 16:39:32.146405,29.82,101342.05,94.80,-1.42,-9.41,-0.70,3.56,0.02,0.06,0.01,426,-1
2021-04-16 16:39:32.625466,29.53,101287.61,95.10,3.11,-9.35,-0.61,3.44,-0.03,0.10,0.04,460,-1
2021-04-16 16:39:33.105990,29.18,101341.27,95.37,-1.35,-9.33,-0.82,3.44,-0.00,0.11,0.05,1350,-1
2021-04-16 16:39:33.587081,29.21,101396.09,95.61,-5.92,-9.38,-0.65,3.54,0.01,0.08,0.07,460,-1
2021-04-16 16:39:34.066340,29.57,101395.47,95.86,-5.87,-9.52,-0.92,3.61,0.01,0.09,0.03,541,-1
2021-04-16 16:39:34.546304,29.74,101396.22,96.06,-5.93,-9.39,-1.01,4.03,0.43,-0.10,-0.09,569,-1
2021-04-16 16:39:35.026336,29.92,101370.68,96.18,-3.80,-9.13,-1.24,4.14,-0.06,0.12,-0.03,614,-1
2021-04-16 16:39:35.506331,29.72,101348.02,96.32,-1.92,-9.34,-0.99,3.86,-0.01,0.16,0.05,1764,-1
2021-04-16 16:39:35.986350,29.63,101395.59,96.46,-5.88,-9.46,-0.39,3.38,0.04,0.09,0.03,548,-1
2021-04-16 16:39:36.466471,29.85,101400.04,96.63,-6.25,-9.32,-0.46,3.97,0.27,-0.04,0.05,696,-1
2021-04-16 16:39:36.946428,30.00,101292.67,96.73,2.69,-9.21,-0.88,3.88,-0.20,0.15,0.02,800,-1
2021-04-16 16:39:37.426726,29.66,101262.92,96.77,5.17,-9.20,-1.43,3.35,-0.13,0.00,0.09,1455,-1
2021-04-16 16:39:37.906466,29.25,101257.23,96.78,5.64,-9.10,-0.54,3.91,0.15,0.08,0.01,1073,-1
2021-04-16 16:39:38.386439,29.14,101375.82,96.79,-4.23,-9.08,-0.71,3.96,-0.02,0.12,0.07,1723,-1
2021-04-16 16:39:38.866449,29.40,101392.41,96.68,-5.61,-9.21,-0.77,4.10,-0.03,0.06,0.13,1571,-1
2021-04-16 16:39:39.346582,29.84,101394.71,96.67,-5.80,-9.08,-1.06,4.63,0.10,0.00,0.04,1108,-1
2021-04-16 16:39:39.826484,30.20,101397.11,96.80,-6.00,-8.97,-0.75,4.64,0.00,0.13,0.09,561,-1
2021-04-16 16:39:40.306472,30.32,101365.94,96.90,-3.41,-9.09,-1.25,4.22,0.23,0.03,0.26,1437,-1
2021-04-16 16:39:40.786654,30.08,101280.20,96.92,3.12,-9.00,-0.94,4.24,-0.09,0.08,0.02,703,-1
2021-04-16 16:39:41.266385,29.53,101298.10,96.97,2.24,-9.02,-0.95,3.93,-0.04,0.12,0.09,1388,-1
2021-04-16 16:39:41.746715,29.49,101392.66,96.97,-5.63,-8.96,-0.81,4.20,-0.04,0.09,0.02,505,-1
2021-04-16 16:39:42.226085,29.82,101398.09,97.00,-6.08,-8.97,-0.88,4.17,-0.04,0.07,-0.02,816,-1
2021-04-16 16:39:42.705983,30.11,101399.16,97.10,-6.17,-9.02,-1.03,4.19,0.00,0.06,0.07,600,-1
2021-04-16 16:39:43.186163,30.25,101285.19,97.14,3.32,-9.07,-1.10,4.12,-0.01,0.05,-0.01,685,-1
2021-04-16 16:39:43.666144,29.83,101281.96,97.20,3.58,-9.10,-1.15,3.85,-0.00,0.07,0.03,806,-1
2021-04-16 16:39:44.146468,29.57,101243.23,97.16,6.81,-9.19,-1.19,3.95,0.03,0.08,0.04,1021,-1
2021-04-16 16:39:44.626048,29.50,101234.22,96.42,7.56,-9.18,-1.28,3.94,0.01,0.08,0.00,1343,-1
2021-04-16 16:39:45.106512,29.49,101391.33,93.60,-5.52,-9.17,-1.24,4.10,0.02,0.06,0.04,1521,-1
2021-04-16 16:39:45.587822,29.78,101391.21,91.16,-5.51,-9.08,-1.12,4.19,0.01,0.05,0.01,1922,-1
2021-04-16 16:39:46.065856,30.12,101396.38,91.16,-5.94,-9.16,-1.22,4.34,-0.00,0.08,0.06,1378,-1
2021-04-16 16:39:46.546278,30.38,101392.81,92.03,-5.64,-9.05,-1.34,4.23,0.01,0.09,0.07,474,-1
2021-04-16 16:39:47.026371,30.44,101392.28,92.91,-5.60,-9.21,-1.24,4.27,0.00,0.09,0.05,1569,-1
2021-04-16 16:39:47.508700,30.41,101269.38,93.68,4.63,-9.14,-1.21,4.20,-0.01,0.11,0.00,905,-1
2021-04-16 16:39:47.988381,29.88,101255.66,94.30,5.78,-9.24,-1.41,3.83,0.01,0.07,0.03,941,-1
2021-04-16 16:39:48.466103,29.59,101324.45,94.73,0.05,-9.23,-1.23,3.84,0.03,0.10,0.08,1747,-1
2021-04-16 16:39:48.946931,29.74,101393.50,94.88,-5.70,-9.13,-1.44,4.10,0.00,0.06,0.04,934,-1
2021-04-16 16:39:49.427627,30.12,101399.05,95.01,-6.16,-9.13,-1.39,4.36,-0.00,0.04,0.06,1089,-1
2021-04-16 16:39:49.906141,30.35,101366.98,95.34,-3.49,-9.14,-1.20,4.18,-0.02,0.10,0.04,829,-1
2021-04-16 16:39:50.386764,30.29,101364.79,95.64,-3.31,-9.32,-1.16,3.93,-0.00,0.31,0.20,4518,-1
2021-04-16 16:39:50.866500,30.34,101396.50,95.97,-5.95,-9.30,-1.07,2.35,-0.11,0.40,0.14,5578,-1
2021-04-16 16:39:51.346439,30.45,101239.37,96.20,7.13,-9.82,-0.97,1.56,-0.08,0.13,-0.04,1024,-1
2021-04-16 16:39:51.825888,29.92,101236.80,96.31,7.35,-10.26,-1.08,1.55,0.11,0.27,0.04,1233,-1
2021-04-16 16:39:52.305984,29.79,101137.33,95.53,15.64,-9.71,-0.75,-0.15,-0.18,0.28,-0.04,2914,-1
2021-04-16 16:39:52.785943,29.78,101115.85,92.04,17.43,-9.76,-1.26,-1.03,0.16,0.17,-0.20,2291,-1
2021-04-16 16:39:53.267240,29.74,101052.84,86.79,22.68,-9.51,-0.69,-1.75,0.18,0.03,-0.13,3733,-1
2021-04-16 16:39:53.745999,29.68,101028.52,80.99,24.71,-10.32,-1.04,-1.52,-0.05,-0.02,-0.24,4029,-1
2021-04-16 16:39:54.226016,29.65,101394.36,75.25,-5.77,-9.56,-0.40,-1.52,-0.03,-0.15,-0.22,3361,-1
2021-04-16 16:39:54.707451,29.88,101405.64,71.81,-6.71,-9.68,-1.41,-1.23,-0.04,0.14,-0.04,3454,-1
2021-04-16 16:39:55.186324,30.23,101416.33,73.38,-7.60,-9.67,-1.74,-1.24,-0.27,0.09,0.06,3124,-1
2021-04-16 16:39:55.666633,30.48,101409.16,76.65,-7.00,-9.65,-1.86,-1.01,0.04,0.05,0.03,2726,-1
2021-04-16 16:39:56.146248,30.73,101403.22,79.94,-6.51,-9.68,-1.99,-0.93,0.02,0.06,0.04,2031,-1
2021-04-16 16:39:56.626203,30.95,101391.72,82.78,-5.55,-9.62,-1.95,-0.89,-0.03,0.07,0.02,1550,-1
2021-04-16 16:39:57.106315,31.07,101390.28,85.23,-5.43,-9.66,-1.82,-0.94,0.00,0.07,0.01,3382,-1
2021-04-16 16:39:57.586257,30.94,101244.09,87.20,6.74,-9.61,-1.87,-1.20,0.01,0.06,0.03,725,-1
2021-04-16 16:39:58.066230,30.27,101225.38,88.82,8.30,-9.64,-1.91,-1.38,0.02,0.07,0.03,1226,-1
2021-04-16 16:39:58.547502,30.06,101399.29,90.11,-6.18,-9.64,-2.00,-1.21,-0.03,0.06,0.03,1443,-1
2021-04-16 16:39:59.026291,30.40,101398.14,91.11,-6.09,-9.59,-1.89,-0.99,0.02,0.05,0.02,1557,-1
2021-04-16 16:39:59.506127,30.79,101397.95,92.08,-6.07,-9.67,-2.05,-0.74,0.23,0.02,0.11,1744,-1
2021-04-16 16:39:59.986291,30.97,101124.17,92.99,16.73,-9.80,-1.60,-0.54,0.44,-0.02,0.06,1785,-1
2021-04-16 16:40:00.466360,30.31,101090.56,93.61,19.54,-9.49,-1.82,-0.40,0.04,-0.06,0.12,8641,-1
2021-04-16 16:40:00.948440,30.17,101437.09,93.34,-9.33,-9.85,-1.30,0.48,0.34,-0.11,0.04,11229,-1
2021-04-16 16:40:01.426551,30.54,101390.51,92.91,-5.45,-9.97,-0.74,1.55,0.47,-0.01,0.32,6701,-1
2021-04-16 16:40:01.906473,30.68,101204.06,93.35,10.07,-9.89,-0.24,1.09,0.08,0.16,0.07,28909,-1
2021-04-16 16:40:02.386453,30.44,101401.62,93.83,-6.38,-9.67,-0.24,0.73,0.01,0.17,0.10,38089,-1
2021-04-16 16:40:02.866348,30.49,101396.36,94.08,-5.94,-9.86,-0.29,0.32,0.02,0.10,0.03,38242,-1
2021-04-16 16:40:03.346587,30.53,101380.84,94.31,-4.65,-9.91,-0.38,0.40,0.03,0.07,0.04,18173,-1
2021-04-16 16:40:03.826345,30.56,101402.27,94.50,-6.43,-9.84,-2.18,0.74,-1.45,-0.22,-0.03,12480,-1
2021-04-16 16:40:04.306378,30.76,101412.16,94.71,-7.25,-10.19,-0.58,1.26,1.40,-0.08,0.45,5376,-1
2021-04-16 16:40:04.786632,30.95,101387.21,95.12,-5.18,-9.69,-0.83,1.69,-1.67,-0.15,-0.30,26728,-1
2021-04-16 16:40:05.266429,30.97,101391.16,95.47,-5.51,-9.83,-0.59,2.61,-0.10,-0.05,0.01,869,-1
2021-04-16 16:40:05.747043,31.10,101225.50,95.82,8.29,-9.89,-0.77,3.22,0.13,0.17,0.24,1557,-1
2021-04-16 16:40:06.227058,30.66,101149.80,96.08,14.60,-9.66,-0.59,1.25,0.03,0.14,0.01,5547,-1
2021-04-16 16:40:06.707104,30.38,101402.48,95.37,-6.45,-9.95,-1.16,1.60,-0.12,0.12,0.04,3412,-1
2021-04-16 16:40:07.188996,30.70,101398.39,93.11,-6.11,-9.70,-0.36,2.04,0.04,0.08,0.04,1777,-1
2021-04-16 16:40:07.667588,31.00,101386.78,92.85,-5.14,-9.68,-0.57,2.10,0.02,0.03,0.03,472,-1
2021-04-16 16:40:08.146321,31.13,101380.08,93.46,-4.58,-9.73,-0.32,2.24,0.16,-0.02,0.01,1338,-1
2021-04-16 16:40:08.627107,31.03,101251.12,94.10,6.15,-9.75,-0.28,1.73,0.06,0.15,0.09,860,-1
2021-04-16 16:40:09.107269,30.60,101235.00,94.43,7.50,-9.78,-0.38,1.57,0.01,-0.00,0.02,835,-1
2021-04-16 16:40:09.587106,30.57,101395.97,92.90,-5.91,-9.89,0.08,2.90,0.45,-0.44,0.09,1611,-1
2021-04-16 16:40:10.067087,30.81,101390.48,89.72,-5.45,-9.38,-0.42,3.78,-0.17,0.16,0.03,1516,-1
2021-04-16 16:40:10.547506,31.07,101387.11,89.37,-5.17,-9.38,-0.08,3.74,-0.03,0.06,0.01,748,-1
2021-04-16 16:40:11.027073,31.20,101389.50,90.40,-5.37,-9.41,-0.19,3.63,0.06,0.06,0.08,1302,-1
2021-04-16 16:40:11.507163,31.18,101249.22,91.50,6.31,-9.49,-0.21,3.68,-0.05,0.07,-0.01,774,-1
2021-04-16 16:40:11.987232,30.74,101188.89,92.37,11.34,-9.70,-0.23,3.07,0.25,0.26,-0.10,6340,-1
2021-04-16 16:40:12.467232,30.69,101393.78,91.26,-5.72,-9.60,-1.30,1.98,0.03,0.24,-0.16,38517,-1
2021-04-16 16:40:12.947319,30.77,101382.66,88.40,-4.80,-9.79,-0.89,1.88,0.07,0.02,0.04,3947,-1
2021-04-16 16:40:13.427213,30.80,101195.55,86.35,10.78,-9.85,-0.74,1.59,0.13,0.09,-0.04,36827,-1
2021-04-16 16:40:13.907326,30.77,101386.50,84.46,-5.12,-10.03,-0.87,1.43,-0.17,0.07,-0.01,37978,-1
2021-04-16 16:40:14.387326,30.81,101387.87,82.80,-5.23,-9.62,-1.10,2.47,-0.03,0.09,0.03,38525,-1
2021-04-16 16:40:14.867316,30.82,101393.42,82.71,-5.69,-9.89,-1.05,1.97,0.00,0.04,0.04,1542,-1
2021-04-16 16:40:15.347244,30.95,101389.22,83.69,-5.34,-9.82,-1.06,1.92,0.01,0.05,0.03,3650,-1
2021-04-16 16:40:15.826747,30.99,101210.39,85.43,9.55,-9.84,-0.98,1.75,-0.01,0.09,-0.02,1384,-1
2021-04-16 16:40:16.307317,30.70,101234.36,86.48,7.55,-9.77,-0.66,1.68,0.09,0.04,-0.05,36808,-1
2021-04-16 16:40:16.787358,30.74,101385.75,84.30,-5.06,-9.75,-1.02,1.62,0.23,-0.01,-0.00,37107,-1
2021-04-16 16:40:17.267310,30.76,101390.30,82.23,-5.44,-9.73,-0.66,2.17,-0.31,-0.15,0.01,18170,-1
2021-04-16 16:40:17.747105,30.89,101387.41,81.63,-5.19,-9.42,-0.89,3.72,0.36,-0.43,-0.20,2477,-1
2021-04-16 16:40:18.227284,31.20,101387.16,83.15,-5.17,-9.10,-0.67,5.16,-0.33,-0.26,0.34,3933,-1
2021-04-16 16:40:18.707341,31.34,101213.75,85.29,9.27,-8.71,-0.98,5.22,-0.33,0.08,0.28,1418,-1
2021-04-16 16:40:19.187376,30.84,101215.65,87.17,9.11,-8.56,-0.10,5.05,-0.14,0.05,0.02,1475,-1
2021-04-16 16:40:19.667347,30.71,101236.18,87.28,7.40,-8.62,-0.49,4.02,-0.13,0.01,-0.16,5633,-1
2021-04-16 16:40:20.147395,30.78,101400.80,83.76,-6.31,-8.85,-1.38,4.92,0.11,-0.13,-0.08,2979,-1
2021-04-16 16:40:20.627347,31.09,101393.16,81.79,-5.67,-8.53,-0.50,6.08,0.19,-0.03,-0.04,1832,-1
2021-04-16 16:40:21.107379,31.37,101387.11,83.17,-5.17,-8.68,-1.04,5.27,-0.02,0.09,0.05,913,-1
