time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-04-28 14:44:01.959409,26.00,101839.83,38.51,-42.77,9.70,1.99,2.83,-0.32,-0.23,0.37,103,-1
2021-04-28 14:44:02.388333,26.02,101842.23,39.47,-42.97,9.82,-0.86,-3.20,4.31,-0.56,0.45,148,-1
2021-04-28 14:44:02.868168,26.03,101843.30,40.19,-43.06,10.74,-0.91,3.92,1.82,-0.06,-0.68,170,-1
2021-04-28 14:44:03.348282,26.02,101840.02,41.25,-42.79,9.62,-0.05,-1.56,-0.18,-0.35,-0.07,129,-1
2021-04-28 14:44:03.828772,26.01,101842.66,41.51,-43.01,8.55,-2.13,-4.43,-1.91,-0.77,-0.07,297,-1
2021-04-28 14:44:04.308318,26.02,101840.80,41.12,-42.86,5.99,-1.15,-9.08,-3.52,-0.73,2.24,201,-1
2021-04-28 14:44:04.788273,26.04,101842.61,41.14,-43.01,8.60,-3.57,-6.82,0.56,-1.06,0.73,392,-1
2021-04-28 14:44:05.268232,26.02,101840.25,41.40,-42.81,3.78,0.43,-8.68,0.52,-0.33,1.21,185,-1
2021-04-28 14:44:05.748028,26.04,101843.00,41.15,-43.04,6.26,-4.07,-7.15,-0.39,-0.41,-0.72,115,-1
2021-04-28 14:44:06.229087,26.05,101842.47,41.15,-42.99,5.26,-2.70,-6.15,0.87,0.29,-0.14,781,-1
2021-04-28 14:44:06.708309,26.15,101841.84,41.44,-42.94,2.10,0.71,-12.17,1.42,0.19,0.61,250,-1
2021-04-28 14:44:07.188239,26.36,101848.23,44.58,-43.47,5.61,-7.29,-3.71,-2.63,-4.30,-0.21,701,-1
2021-04-28 14:44:07.668181,26.17,101848.00,49.46,-43.45,1.72,-0.37,-10.52,1.02,-0.32,-0.12,680,-1
2021-04-28 14:44:08.148299,26.16,101842.95,52.62,-43.03,-2.43,5.93,-11.12,-0.91,-0.35,0.17,1195,-1
2021-04-28 14:44:08.629171,26.26,101846.42,53.58,-43.32,0.35,3.48,-9.26,-0.49,0.42,0.27,1392,-1
