time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-04-28 14:58:05.246779,28.27,101846.14,86.58,-43.30,-9.80,-0.64,-1.52,-0.01,0.16,0.04,1446,-1
2021-04-28 14:58:05.381665,27.97,101862.56,86.81,-44.66,-9.28,-0.60,-1.33,0.09,0.03,0.01,10899,-1
2021-04-28 14:58:05.860754,28.50,101848.60,86.95,-43.50,-9.24,-0.76,-1.39,0.28,-0.04,-0.07,3843,-1
2021-04-28 14:58:06.340602,28.83,101853.16,87.03,-43.88,-9.11,-0.93,-1.50,0.23,-0.02,0.07,639,-1
2021-04-28 14:58:06.820629,28.68,101853.38,87.10,-43.90,-9.90,-0.29,-0.84,-0.04,0.13,0.11,736,-1
2021-04-28 14:58:07.300514,28.44,101856.18,87.23,-44.13,-10.23,-0.30,-1.16,0.09,-0.03,0.02,3048,-1
2021-04-28 14:58:07.779986,28.52,101852.12,87.46,-43.79,-10.15,-0.42,-0.90,-0.00,0.03,0.07,1590,-1
2021-04-28 14:58:08.261859,28.67,101853.92,87.66,-43.94,-9.63,-0.92,-1.35,-0.02,0.09,-0.00,639,-1
2021-04-28 14:58:08.740447,28.68,101848.05,87.90,-43.46,-9.18,-0.86,-0.86,-0.00,-0.04,0.04,651,-1
2021-04-28 14:58:09.220203,28.55,101853.36,88.11,-43.90,-9.23,-0.67,-0.55,-0.00,0.11,0.28,776,-1
2021-04-28 14:58:09.702174,28.54,101852.74,88.41,-43.85,-9.89,0.01,-0.52,0.16,0.01,0.04,1297,-1
2021-04-28 14:58:10.180264,28.65,101853.07,88.55,-43.87,-10.09,-0.07,-0.75,-0.03,0.08,0.10,1055,-1
2021-04-28 14:58:10.660687,28.52,101851.34,88.76,-43.73,-9.49,0.27,-0.94,0.01,0.06,0.06,13170,-1
2021-04-28 14:58:11.140716,28.75,101851.52,88.85,-43.74,-8.78,-0.24,-1.01,0.20,0.12,0.07,14620,-1
2021-04-28 14:58:11.620786,28.92,101857.31,88.92,-44.23,-10.50,0.61,-0.89,-0.04,0.10,-0.01,18603,-1
2021-04-28 14:58:12.100611,29.04,101853.51,88.95,-43.91,-8.61,0.38,-0.57,0.01,0.10,-0.04,6362,-1
2021-04-28 14:58:12.580474,29.38,101854.95,88.99,-44.03,-9.84,-0.27,-0.87,0.01,-0.03,-0.03,909,-1
2021-04-28 14:58:13.060628,29.02,101856.50,89.04,-44.16,-9.11,0.04,-0.69,-0.13,0.08,-0.01,1486,-1
2021-04-28 14:58:13.539963,28.71,101853.20,89.09,-43.88,-9.88,-0.36,-0.19,0.07,-0.30,-0.09,814,-1
2021-04-28 14:58:14.020173,28.71,101848.92,89.20,-43.53,-9.25,-0.48,-0.38,-0.02,0.15,0.08,13572,-1
2021-04-28 14:58:14.500565,28.83,101851.06,89.03,-43.71,-9.18,-0.20,-0.57,0.05,0.01,0.11,11932,-1
2021-04-28 14:58:14.980539,28.98,101864.78,88.92,-44.84,-10.15,-0.44,0.06,0.22,0.02,-0.07,17221,-1
2021-04-28 14:58:15.460722,29.55,101853.68,88.79,-43.92,-9.12,-0.14,-0.62,-0.03,0.19,0.13,1832,-1
