time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-05-05 16:32:44.994910,23.97,100741.03,35.34,48.73,-0.13,0.34,-10.92,0.10,-0.11,-0.18,573,-1
2021-05-05 16:32:45.289042,23.97,100741.81,35.22,48.67,-0.09,0.05,-9.36,0.09,-0.12,-0.12,440,-1
2021-05-05 16:32:45.769522,23.98,100743.88,35.22,48.50,0.12,-0.49,-9.63,0.09,-0.12,-0.11,664,-1
2021-05-05 16:32:46.249776,23.98,100743.56,35.32,48.52,-0.50,0.57,-9.60,0.09,-0.12,-0.11,591,-1
2021-05-05 16:32:46.729101,23.98,100742.62,35.47,48.60,-0.24,0.34,-9.40,0.09,-0.12,-0.11,648,-1
2021-05-05 16:32:47.209846,23.98,100739.45,35.57,48.87,-1.27,-0.81,-9.33,0.10,-0.11,0.13,769,-1
2021-05-05 16:32:47.689432,23.99,100742.72,35.64,48.59,0.03,-0.61,-10.12,0.09,-0.12,0.01,478,-1
2021-05-05 16:32:48.169680,24.01,100739.58,35.72,48.86,-0.42,0.48,-9.75,0.14,-0.09,-0.16,657,-1
2021-05-05 16:32:48.649773,24.02,100739.73,35.84,48.84,-3.86,1.50,-8.51,-1.03,-0.83,-0.54,919,-1
2021-05-05 16:32:49.129728,24.03,100739.75,36.09,48.84,-5.03,3.41,-5.84,-0.03,-1.17,0.53,428,-1
2021-05-05 16:32:49.609808,24.04,100739.82,36.42,48.83,-7.06,5.09,-3.33,-0.58,-1.61,0.48,373,-1
2021-05-05 16:32:50.090071,24.05,100740.47,37.10,48.78,-3.60,6.55,7.18,-0.34,-0.93,-0.12,384,-1
2021-05-05 16:32:50.569834,24.06,100742.81,37.86,48.58,-0.28,5.06,8.59,-0.04,-0.49,0.14,349,-1
2021-05-05 16:32:51.049795,24.05,100743.34,38.28,48.54,0.63,3.27,10.94,-0.53,0.46,-0.41,395,-1
2021-05-05 16:32:51.529741,24.06,100742.81,38.21,48.58,-0.43,0.87,9.60,0.70,-0.84,-0.42,645,-1
2021-05-05 16:32:52.009806,24.08,100739.88,38.30,48.83,0.49,0.14,9.56,-0.42,-0.08,-0.07,679,-1
2021-05-05 16:32:52.489899,24.14,100738.97,40.01,48.91,0.74,-1.60,8.72,-0.58,0.04,-0.32,2502,-1
2021-05-05 16:32:52.969698,24.19,100739.52,44.10,48.86,0.21,0.42,10.00,0.56,-0.11,-0.08,919,-1
2021-05-05 16:32:53.449810,24.24,100727.75,48.95,49.84,0.64,2.00,9.33,-0.15,-0.10,-0.22,499,-1
2021-05-05 16:32:53.929690,24.23,100735.30,53.81,49.21,-1.76,1.68,8.93,0.41,0.81,-0.58,438,-1
2021-05-05 16:32:54.409812,24.23,100735.12,56.30,49.23,-2.77,2.31,9.44,-0.10,0.00,0.25,1255,-1
2021-05-05 16:32:54.890908,24.39,100730.81,57.35,49.59,-3.46,1.56,8.87,0.42,-0.23,-0.74,838,-1
2021-05-05 16:32:55.369922,24.54,100737.05,60.31,49.07,-2.69,3.04,9.10,0.67,-0.13,-1.08,757,-1
2021-05-05 16:32:55.849827,24.59,100735.57,63.96,49.19,-3.51,1.22,8.70,-0.07,-0.03,0.19,733,-1
2021-05-05 16:32:56.329755,24.51,100733.56,66.79,49.36,-4.58,3.85,8.37,0.30,0.16,0.11,688,-1
2021-05-05 16:32:56.809849,24.54,100732.86,67.17,49.42,-3.70,5.15,7.84,0.13,-0.23,-0.16,867,-1
2021-05-05 16:32:57.290793,24.57,100735.23,66.65,49.22,-3.75,3.95,7.95,0.23,-0.36,-0.42,1239,-1
2021-05-05 16:32:57.769799,24.62,100736.45,67.28,49.12,-3.41,4.26,8.06,0.09,0.04,0.06,1492,-1
2021-05-05 16:32:58.249843,24.80,100730.64,69.31,49.60,-3.29,4.86,8.13,0.03,0.14,0.09,983,-1
2021-05-05 16:32:58.729711,24.99,100734.88,71.98,49.25,-3.42,5.14,7.58,0.16,-0.10,-0.30,738,-1
2021-05-05 16:32:59.209911,24.79,100738.87,74.59,48.91,-3.80,4.81,8.04,-0.04,-0.44,-0.39,905,-1
2021-05-05 16:32:59.690047,24.80,100735.07,76.66,49.23,-2.83,2.27,9.20,-0.08,-0.21,-0.76,2446,-1
2021-05-05 16:33:00.169899,25.01,100735.78,78.19,49.17,-4.10,1.43,9.88,-0.02,-0.22,-0.07,6551,-1
2021-05-05 16:33:00.649904,25.28,100736.94,79.95,49.08,-5.43,0.80,8.70,0.45,0.22,-0.64,4067,-1
2021-05-05 16:33:01.129831,25.59,100737.66,81.78,49.02,-3.60,1.98,9.63,-0.07,-0.21,-0.06,1305,-1
2021-05-05 16:33:01.609571,25.74,100731.15,83.37,49.56,-4.23,2.10,8.81,0.07,-0.06,0.13,717,-1
2021-05-05 16:33:02.090255,25.37,100742.74,84.75,48.59,-4.15,1.95,9.07,0.04,0.08,0.08,5836,-1
2021-05-05 16:33:02.569838,25.42,100734.81,86.06,49.25,-4.53,1.76,8.71,-0.07,0.11,-0.05,27335,-1
2021-05-05 16:33:03.049962,26.08,100737.56,87.18,49.02,-4.30,2.83,8.83,0.10,-0.08,-0.41,11935,-1
2021-05-05 16:33:03.529787,26.28,100736.32,88.17,49.13,-4.82,2.41,9.11,0.01,-0.06,-0.16,8635,-1
2021-05-05 16:33:04.009921,26.36,100746.79,89.01,48.25,-3.86,2.16,8.88,0.00,-0.06,-0.08,4542,-1
2021-05-05 16:33:04.489884,26.23,100740.00,89.71,48.82,-4.21,2.24,8.99,0.00,-0.07,-0.13,934,-1
2021-05-05 16:33:04.969847,25.76,100744.83,90.28,48.42,-3.98,1.72,8.93,-0.00,0.01,-0.02,774,-1
2021-05-05 16:33:05.449917,25.27,100745.67,90.82,48.34,-3.49,1.80,8.76,0.02,0.03,-0.09,998,-1
2021-05-05 16:33:05.929799,25.27,100740.28,91.28,48.80,-3.74,1.62,9.12,-0.03,0.06,-0.03,1962,-1
2021-05-05 16:33:06.409994,25.66,100737.66,91.79,49.02,-4.26,1.93,9.10,0.04,0.08,-0.01,1337,-1
2021-05-05 16:33:06.889916,25.77,100741.44,92.14,48.70,-4.27,2.63,8.37,0.05,0.04,-0.00,7440,-1
2021-05-05 16:33:07.369868,25.49,100744.52,92.48,48.44,-3.84,2.56,8.74,-0.00,0.10,-0.02,16929,-1
2021-05-05 16:33:07.850029,25.62,100745.89,92.82,49.27,-4.33,2.37,8.65,0.00,0.09,-0.02,23319,-1
2021-05-05 16:33:08.329544,25.79,100746.80,93.12,48.25,-4.03,2.41,8.74,-0.05,-0.01,-0.10,14664,-1
2021-05-05 16:33:08.810055,26.03,100742.85,93.40,48.58,-4.38,2.09,9.26,-0.02,0.05,-0.07,5447,-1
2021-05-05 16:33:09.290389,26.14,100749.25,93.63,48.05,-4.50,2.15,9.02,0.02,-0.01,-0.05,6071,-1
2021-05-05 16:33:09.770023,26.16,100748.02,93.90,48.15,-4.05,2.42,9.17,-0.08,-0.05,-0.12,5372,-1
2021-05-05 16:33:10.250033,26.24,100751.07,94.03,47.89,-3.72,1.88,9.02,-0.01,0.07,-0.02,1401,-1
2021-05-05 16:33:10.730000,26.25,100746.12,94.24,48.31,-4.13,1.85,9.17,-0.02,-0.01,0.09,18400,-1
2021-05-05 16:33:11.210193,26.43,100736.58,94.40,49.11,-4.40,2.69,9.08,0.01,-0.17,-0.05,4688,-1
2021-05-05 16:33:11.690189,26.77,100749.94,94.56,47.99,-3.68,1.69,9.54,0.00,0.02,-0.03,712,-1
2021-05-05 16:33:12.170000,26.72,100750.28,94.64,47.96,-4.03,2.50,8.88,0.01,0.03,-0.07,753,-1
2021-05-05 16:33:12.650016,26.41,100752.81,94.70,47.75,-3.63,1.71,9.13,0.01,-0.00,-0.05,2013,-1
2021-05-05 16:33:13.129937,26.19,100746.22,94.77,48.30,-3.61,2.43,9.11,-0.04,0.09,-0.05,1490,-1
2021-05-05 16:33:13.610125,26.51,100747.91,94.86,48.16,-3.84,2.30,9.31,-0.01,0.04,-0.07,1571,-1
2021-05-05 16:33:14.090017,26.59,100747.45,94.95,48.20,-3.57,1.58,9.38,0.00,0.04,-0.03,844,-1
2021-05-05 16:33:14.569940,26.72,100748.09,95.08,48.14,-3.60,2.00,9.21,0.01,0.02,-0.06,617,-1
2021-05-05 16:33:15.049911,26.72,100747.59,95.09,48.18,-3.81,2.50,8.99,-0.01,0.04,-0.03,606,-1
2021-05-05 16:33:15.529947,26.48,100751.59,95.15,47.85,-3.91,2.02,9.18,0.01,-0.01,-0.05,603,-1
2021-05-05 16:33:16.010071,26.14,100744.77,95.15,48.42,-3.47,1.63,8.84,-0.01,0.03,-0.03,781,-1
2021-05-05 16:33:16.490155,26.17,100744.05,95.19,48.48,-3.56,2.08,9.15,0.06,0.17,0.07,2396,-1
2021-05-05 16:33:16.969960,26.30,100745.02,95.24,48.40,-5.42,2.75,7.81,-0.01,0.35,0.09,1320,-1
2021-05-05 16:33:17.450092,26.57,100742.70,95.34,48.59,-4.75,3.08,7.99,-0.21,0.28,-0.07,1305,-1
2021-05-05 16:33:17.930027,26.62,100748.23,95.42,48.13,-5.07,3.26,7.55,-0.14,0.47,0.14,1089,-1
2021-05-05 16:33:18.410105,26.21,100745.98,95.36,48.32,-5.94,3.96,6.66,-0.01,0.15,0.45,923,-1
2021-05-05 16:33:18.890068,26.06,100741.87,95.43,48.66,-6.72,4.54,7.10,-0.19,-0.21,-0.33,7817,-1
2021-05-05 16:33:19.370129,26.23,100746.55,95.48,48.27,-6.87,3.90,6.60,-0.01,-0.34,-0.01,4062,-1
2021-05-05 16:33:19.850155,26.27,100747.17,95.58,48.22,-6.14,4.50,5.44,1.22,0.21,-0.11,14399,-1
2021-05-05 16:33:20.330049,26.25,100742.25,95.58,48.63,-4.90,7.15,5.26,0.12,0.09,-0.22,27069,-1
2021-05-05 16:33:20.810115,26.57,100744.02,95.67,48.48,-6.53,5.42,6.09,-1.15,-0.26,0.33,9288,-1
2021-05-05 16:33:21.290154,26.62,100748.12,95.73,48.14,-6.89,2.88,8.13,0.04,-0.07,-0.19,5902,-1
2021-05-05 16:33:21.770518,26.66,100744.10,95.78,48.48,-5.22,3.55,8.34,-0.07,-0.10,-0.26,6211,-1
2021-05-05 16:33:22.250187,26.86,100747.52,95.82,48.19,-5.62,4.14,7.57,0.03,0.29,-0.02,3571,-1
2021-05-05 16:33:22.729976,26.84,100747.20,95.80,48.22,-6.76,4.04,5.84,0.15,0.14,0.01,862,-1
2021-05-05 16:33:23.210138,26.69,100748.44,95.87,48.11,-5.95,4.83,5.75,-0.21,-0.32,-0.15,27776,-1
2021-05-05 16:33:23.690211,26.45,100744.69,95.82,48.43,-5.60,3.77,6.39,-0.14,-0.05,-0.28,33538,-1
2021-05-05 16:33:24.170247,26.63,100746.43,95.90,48.28,-5.32,3.17,7.52,0.18,0.19,0.04,22940,-1
2021-05-05 16:33:24.650194,26.97,100749.07,95.94,48.06,-5.16,4.94,5.88,-0.23,0.43,-0.16,11311,-1
2021-05-05 16:33:25.129938,26.93,100750.34,95.96,47.95,-5.66,4.20,6.26,0.24,0.20,0.36,37612,-1
2021-05-05 16:33:25.610201,27.12,100739.02,96.05,48.90,-6.33,3.82,5.87,-0.52,0.50,0.10,36724,-1
2021-05-05 16:33:26.090080,27.84,100736.36,96.13,49.12,-6.68,2.50,5.24,-0.59,0.10,0.10,19303,-1
2021-05-05 16:33:26.570302,27.95,100746.11,96.11,48.31,-7.58,3.18,7.45,-0.02,0.14,-0.11,15090,-1
2021-05-05 16:33:27.050236,27.73,100744.79,96.07,48.28,-6.61,3.66,6.89,-0.09,0.02,-0.01,13102,-1
2021-05-05 16:33:27.530064,27.74,100749.01,96.08,48.07,-7.52,3.85,5.61,0.08,0.02,0.30,3665,-1
2021-05-05 16:33:28.010176,27.59,100748.51,96.00,48.11,-7.28,2.43,4.92,0.63,0.18,-0.46,894,-1
2021-05-05 16:33:28.489731,27.28,100748.28,96.00,48.13,-8.44,3.95,4.16,0.21,-0.09,0.16,1132,-1
2021-05-05 16:33:28.970115,27.26,100748.20,96.05,48.13,-8.15,5.16,5.23,-0.18,-0.32,0.03,1461,-1
2021-05-05 16:33:29.450255,27.52,100748.33,96.08,48.12,-7.23,4.01,6.54,-0.08,-0.22,-0.09,614,-1
2021-05-05 16:33:29.930178,27.52,100753.98,96.06,47.65,-7.33,3.67,6.45,0.06,-0.17,-0.06,5647,-1
2021-05-05 16:33:30.410250,27.34,100751.31,96.06,47.87,-7.05,3.81,6.76,-0.04,-0.21,0.00,11261,-1
2021-05-05 16:33:30.890391,27.32,100750.53,96.05,47.94,-6.89,3.55,6.64,-0.16,-0.09,-0.05,7490,-1
2021-05-05 16:33:31.370621,27.31,100753.20,96.08,47.72,-6.67,1.69,7.62,-0.47,-0.16,0.18,705,-1
2021-05-05 16:33:31.850255,27.35,100749.59,96.08,48.02,-7.41,1.80,6.95,0.06,-0.01,0.17,1544,-1
2021-05-05 16:33:32.330179,27.35,100755.15,96.11,47.55,-7.36,2.38,6.88,0.07,-0.03,0.16,4718,-1
2021-05-05 16:33:32.810279,27.40,100748.33,96.13,48.12,-6.48,3.19,6.54,0.43,-0.32,-0.15,4447,-1
2021-05-05 16:33:33.290494,27.40,100751.69,96.15,47.84,-5.86,4.30,6.93,0.97,-0.46,-0.09,617,-1
2021-05-05 16:33:33.770180,27.43,100751.09,96.14,47.89,-3.88,5.86,6.20,-0.09,0.10,0.35,598,-1
2021-05-05 16:33:34.250276,27.27,100752.98,96.17,47.73,-5.89,5.45,6.25,-0.40,0.15,0.03,810,-1
2021-05-05 16:33:34.730184,26.81,100750.63,96.15,47.93,-5.35,4.09,6.96,0.02,-0.00,0.04,2465,-1
2021-05-05 16:33:35.210011,26.72,100751.47,96.18,47.86,-5.79,4.34,7.93,-0.54,0.40,0.39,15763,-1
2021-05-05 16:33:35.690707,27.35,100746.65,96.24,48.26,-5.69,4.66,7.09,-0.15,0.11,-0.02,10348,-1
2021-05-05 16:33:36.170318,27.35,100749.28,96.27,48.04,-6.08,3.91,6.48,-0.00,0.21,0.22,2953,-1
2021-05-05 16:33:36.650315,27.27,100749.94,96.27,47.99,-5.78,4.11,7.37,0.10,0.06,0.13,3005,-1
2021-05-05 16:33:37.130336,27.24,100749.84,96.26,48.00,-5.64,4.62,6.75,0.02,0.05,0.07,3451,-1
2021-05-05 16:33:37.610308,27.19,100751.66,96.27,47.84,-5.95,5.34,6.20,0.08,-0.03,-0.09,750,-1
2021-05-05 16:33:38.090727,27.25,100744.53,96.31,48.44,-6.70,3.96,6.98,0.02,-0.10,-0.24,723,-1
2021-05-05 16:33:38.570482,27.27,100753.64,96.31,47.68,-5.82,3.37,7.13,0.40,-0.34,-0.53,7284,-1
2021-05-05 16:33:39.050380,27.18,100738.69,96.35,48.93,-6.28,3.59,7.75,0.13,-0.09,-0.30,7586,-1
2021-05-05 16:33:39.530255,27.52,100750.59,96.39,47.93,-5.76,3.18,8.27,0.14,-0.22,-0.14,3066,-1
2021-05-05 16:33:40.010341,27.42,100750.05,96.42,47.98,-6.27,3.47,7.06,-0.01,0.02,0.12,11438,-1
2021-05-05 16:33:40.490536,27.46,100749.27,96.42,48.04,-6.30,3.84,7.20,0.05,0.14,-0.06,6188,-1
2021-05-05 16:33:40.970282,27.50,100747.95,96.42,48.15,-6.49,3.68,7.16,-0.09,0.19,0.02,1082,-1
2021-05-05 16:33:41.450359,27.24,100754.05,96.38,47.64,-7.08,3.32,6.91,-0.18,0.24,0.12,14214,-1
2021-05-05 16:33:41.929740,27.21,100747.97,96.43,48.15,-5.84,4.31,6.95,0.20,-0.17,-0.09,36394,-1
2021-05-05 16:33:42.410406,27.30,100748.02,96.45,48.15,-6.40,3.95,7.01,-0.21,-0.01,-0.31,14337,-1
2021-05-05 16:33:42.890540,27.31,100749.36,96.43,48.04,-6.37,3.66,6.73,0.32,0.15,0.05,5367,-1
2021-05-05 16:33:43.370273,27.31,100749.36,96.49,48.04,-5.69,5.57,5.98,0.58,0.02,-0.10,11478,-1
2021-05-05 16:33:43.850448,27.30,100747.95,96.49,47.90,-5.68,6.81,5.54,0.31,-0.04,-0.48,8167,-1
2021-05-05 16:33:44.330393,27.30,100748.19,96.48,48.13,-6.24,6.25,3.93,0.30,0.14,0.10,672,-1
2021-05-05 16:33:44.810370,27.18,100754.00,96.48,47.65,-7.15,6.98,3.44,0.07,-0.00,0.08,9327,-1
2021-05-05 16:33:45.290776,27.09,100753.59,96.51,47.68,-7.01,6.44,3.60,0.06,-0.01,-0.06,638,-1
2021-05-05 16:33:45.770752,27.07,100752.49,96.52,47.77,-6.75,7.11,3.77,0.07,-0.12,-0.20,11382,-1
2021-05-05 16:33:46.250461,27.16,100749.70,96.54,48.01,-6.88,6.73,3.50,0.09,-0.10,-0.09,9536,-1
2021-05-05 16:33:46.730315,27.24,100751.61,96.54,47.85,-7.25,6.98,3.21,0.08,-0.08,-0.09,7054,-1
2021-05-05 16:33:47.210438,27.30,100749.54,96.50,48.02,-7.28,6.56,3.51,0.03,-0.09,0.02,11506,-1
2021-05-05 16:33:47.690728,27.38,100748.02,96.58,48.15,-6.65,6.08,3.30,-0.07,0.06,0.09,5480,-1
2021-05-05 16:33:48.170322,27.44,100750.84,96.58,47.91,-6.21,6.50,2.79,-0.13,0.11,-0.07,847,-1
2021-05-05 16:33:48.650332,27.40,100750.68,96.61,47.93,-5.75,7.05,3.73,-0.24,0.10,0.21,646,-1
2021-05-05 16:33:49.130520,27.37,100749.48,96.65,48.03,-6.18,7.42,4.72,0.06,-0.15,-0.09,747,-1
2021-05-05 16:33:49.610472,27.27,100747.77,96.64,48.17,-6.02,6.96,4.28,-0.01,0.03,-0.06,5723,-1
2021-05-05 16:33:50.090740,27.35,100750.12,96.64,47.97,-5.56,7.17,3.86,-0.03,-0.15,-0.17,811,-1
2021-05-05 16:33:50.570844,27.37,100750.58,96.63,47.93,-6.36,6.71,4.02,0.08,0.07,-0.05,39138,-1
2021-05-05 16:33:51.050489,27.64,100752.59,96.46,47.77,-5.90,6.27,4.29,0.02,-0.00,-0.08,10586,-1
