time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-05-05 16:43:41.966466,30.41,100725.78,29.52,50.01,-1.43,0.28,9.80,0.50,-0.03,-0.20,281,-1
2021-05-05 16:43:42.430578,30.38,100725.39,29.64,50.04,-3.34,0.44,9.91,-0.87,-0.72,0.33,237,-1
2021-05-05 16:43:42.910729,30.36,100725.69,29.77,50.02,-1.21,1.24,8.66,0.05,-0.26,0.19,179,-1
2021-05-05 16:43:43.390165,30.34,100725.43,29.92,50.04,0.50,-1.28,10.24,0.15,0.39,-0.14,159,-1
2021-05-05 16:43:43.870326,30.33,100723.51,29.93,50.20,-0.06,0.00,10.60,-0.37,0.59,0.05,2188,-1
2021-05-05 16:43:44.350415,30.32,100715.64,30.63,50.62,2.64,0.14,9.30,0.16,-0.52,-0.14,1629,-1
2021-05-05 16:43:44.830558,30.36,100717.66,35.81,50.69,2.83,0.98,10.05,-0.18,0.54,-0.41,1586,-1
2021-05-05 16:43:45.310461,30.38,100718.70,43.35,50.60,0.19,1.21,9.68,0.03,0.19,-0.42,138,-1
2021-05-05 16:43:45.790322,30.37,100716.88,49.15,50.75,0.53,0.37,10.21,0.14,0.28,-0.75,164,-1
2021-05-05 16:43:46.271220,30.34,100716.81,51.44,50.76,-2.99,0.37,8.62,-0.05,0.66,-0.35,7703,-1
2021-05-05 16:43:46.750569,30.37,100719.33,52.82,50.55,-3.63,1.28,9.34,0.47,0.36,-0.29,13497,-1
2021-05-05 16:43:47.230659,30.41,100719.36,56.98,50.55,-4.06,2.51,7.91,0.20,-0.08,-0.12,9056,-1
2021-05-05 16:43:47.710454,30.42,100723.62,62.02,50.19,-4.37,2.29,9.05,0.05,-0.08,-0.05,159,-1
2021-05-05 16:43:48.191105,30.41,100721.11,66.37,50.40,-3.87,2.45,8.96,0.05,-0.12,-0.01,182,-1
2021-05-05 16:43:48.670658,30.38,100722.26,68.22,50.30,-3.91,2.58,8.86,0.10,-0.14,-0.06,112,-1
2021-05-05 16:43:49.150517,30.36,100722.51,66.84,50.28,-3.62,2.59,9.21,0.11,-0.08,-0.12,3424,-1
2021-05-05 16:43:49.630853,30.38,100719.36,65.10,50.55,-5.34,0.69,7.60,0.84,0.50,-0.98,4949,-1
2021-05-05 16:43:50.110694,30.40,100720.91,66.57,50.42,-6.77,1.53,7.17,0.18,-0.03,-0.24,3007,-1
2021-05-05 16:43:50.590631,30.42,100719.56,69.36,50.53,-7.40,1.47,6.26,0.23,0.00,-0.29,244,-1
2021-05-05 16:43:51.070766,30.44,100720.50,72.23,50.45,-8.08,0.96,6.99,-0.01,-0.25,-0.15,117,-1
2021-05-05 16:43:51.550760,30.44,100719.25,74.81,50.56,-7.13,0.98,6.45,0.12,0.08,-0.13,156,-1
2021-05-05 16:43:52.030833,30.41,100722.97,75.24,50.24,-7.09,1.27,6.32,0.15,-0.10,0.21,3258,-1
2021-05-05 16:43:52.510786,30.43,100724.87,74.62,50.09,-6.53,2.70,6.90,0.16,-0.20,0.11,1436,-1
2021-05-05 16:43:52.991582,30.50,100724.09,76.09,50.15,-6.40,2.78,6.91,0.03,-0.08,-0.04,1444,-1
2021-05-05 16:43:53.470893,30.61,100724.06,78.63,50.15,-6.25,3.06,7.26,0.15,-0.03,-0.04,161,-1
2021-05-05 16:43:53.950852,30.57,100725.80,81.13,50.01,-6.87,3.13,6.89,0.10,0.07,-0.13,2565,-1
2021-05-05 16:43:54.430989,30.53,100723.48,83.36,50.20,-5.27,4.00,7.42,-0.25,0.10,0.16,1689,-1
2021-05-05 16:43:54.910904,30.71,100722.47,85.16,50.29,-6.43,3.63,6.76,0.15,0.19,0.13,371,-1
2021-05-05 16:43:55.390792,30.60,100725.53,86.75,50.03,-6.78,3.81,6.04,0.11,-0.10,0.00,849,-1
2021-05-05 16:43:55.870987,30.45,100720.13,87.77,50.48,-6.86,4.33,5.66,0.22,-0.19,-0.04,233,-1
2021-05-05 16:43:56.350957,30.42,100724.91,86.75,50.08,-6.18,4.88,5.44,-0.04,-0.11,-0.00,4191,-1
2021-05-05 16:43:56.831173,30.43,100717.09,83.69,50.74,-6.91,5.09,5.26,0.41,-0.04,-0.12,8700,-1
2021-05-05 16:43:57.310984,30.47,100718.45,82.15,50.62,-6.77,4.80,5.02,0.01,-0.13,-0.22,1940,-1
2021-05-05 16:43:57.790860,30.50,100719.86,82.74,50.50,-6.88,5.65,5.32,0.20,-0.15,-0.28,356,-1
