time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha,fan
2021-05-17 15:34:30.327687,23.94,100903.78,40.20,35.13,-0.34,-0.98,-9.76,0.10,-0.12,-0.09,262,2,2,2,5,-1
2021-05-17 15:34:30.463705,23.94,100907.38,40.14,34.83,-0.34,-0.93,-9.71,0.09,-0.12,-0.09,108,2,2,2,5,-1
2021-05-17 15:34:30.943423,23.94,100904.60,40.19,35.06,-0.34,-0.94,-9.71,0.09,-0.12,-0.09,133,2,2,2,5,-1
2021-05-17 15:34:31.423334,23.94,100907.70,40.16,34.80,-0.34,-0.94,-9.72,0.09,-0.12,-0.09,131,2,2,2,5,-1
2021-05-17 15:34:31.902488,23.94,100905.44,40.12,34.99,-0.34,-0.91,-9.70,0.09,-0.12,-0.09,104,2,2,2,5,-1
2021-05-17 15:34:32.383316,23.94,100908.95,40.13,34.70,-0.29,-0.96,-9.70,0.09,-0.12,-0.09,402,2,2,2,5,-1
2021-05-17 15:34:32.863402,23.94,100907.45,40.10,34.82,-0.27,-1.00,-9.72,0.09,-0.12,-0.09,285,2,2,2,5,-1
2021-05-17 15:34:33.343448,23.93,100907.39,40.11,34.83,-0.27,-1.02,-9.74,0.09,-0.12,-0.09,233,2,2,2,5,-1
2021-05-17 15:34:33.823451,23.94,100909.98,40.12,34.61,-0.16,-0.95,-9.71,0.09,-0.12,-0.09,252,2,2,2,5,-1
2021-05-17 15:34:34.303442,23.94,100908.55,40.06,34.73,-0.31,-0.95,-9.71,0.09,-0.12,-0.09,139,2,2,2,5,-1
2021-05-17 15:34:34.783521,23.94,100908.62,40.05,34.73,-0.32,-0.92,-9.72,0.09,-0.12,-0.09,129,2,2,2,5,-1
2021-05-17 15:34:35.263463,23.94,100908.88,40.02,34.70,-0.31,-0.90,-9.67,0.09,-0.12,-0.09,109,2,2,2,5,-1
2021-05-17 15:34:35.743010,23.94,100907.47,40.08,34.82,-0.28,-0.88,-9.74,0.09,-0.12,-0.09,90,2,2,2,5,-1
2021-05-17 15:34:36.223237,23.94,100905.52,40.07,34.98,-0.38,-0.99,-9.71,0.09,-0.12,-0.09,116,2,2,2,5,-1
2021-05-17 15:34:36.703500,23.94,100906.62,40.02,34.89,-0.51,-0.91,-9.74,0.09,-0.12,-0.09,130,2,2,2,5,-1
2021-05-17 15:34:37.183514,23.94,100907.55,40.02,34.81,-0.29,-0.85,-9.72,0.09,-0.12,-0.09,107,2,2,2,5,-1
2021-05-17 15:34:37.663971,23.94,100907.47,40.01,34.82,-0.29,-0.96,-9.72,0.09,-0.12,-0.09,106,2,2,2,5,-1
2021-05-17 15:34:38.143461,23.94,100907.63,39.97,34.81,-0.26,-0.93,-9.75,0.09,-0.12,-0.09,314,2,2,2,5,-1
2021-05-17 15:34:38.623540,23.94,100907.86,40.02,34.79,-0.28,-0.96,-9.74,0.09,-0.12,-0.09,455,2,2,2,5,-1
2021-05-17 15:34:39.103523,23.94,100906.69,40.00,34.89,-0.34,-0.95,-9.71,0.09,-0.12,-0.10,154,2,2,2,5,-1
2021-05-17 15:34:39.583527,23.94,100904.36,40.00,35.08,-0.32,-0.93,-9.73,0.09,-0.12,-0.09,237,2,2,2,5,-1
2021-05-17 15:34:40.063331,23.94,100907.80,40.00,34.79,-0.32,-0.92,-9.74,0.09,-0.12,-0.09,142,2,2,2,5,-1
2021-05-17 15:34:40.543477,23.94,100906.52,40.00,34.90,-0.29,-0.96,-9.72,0.09,-0.12,-0.09,110,2,2,2,5,-1
