time,temperature,pressure,humidity,fan,battery,mic
2022-03-03 16:16:16.298070,26.78,100614.92,95.87,90,246,1610
2022-03-03 16:16:17.120283,26.83,100616.48,95.78,89,246,1517
2022-03-03 16:16:20.896848,27.02,100610.30,91.34,89,235,990
2022-03-03 16:16:24.671085,26.88,100615.23,91.08,91,234,2076
2022-03-03 16:16:28.447026,26.86,100615.84,94.78,91,243,1989
2022-03-03 16:16:32.223006,27.12,100609.05,95.72,91,246,1461
2022-03-03 16:16:35.998951,27.15,100612.19,95.78,89,246,1353
2022-03-03 16:16:39.774634,27.17,100606.67,94.62,92,243,941
2022-03-03 16:16:43.551107,27.20,100607.10,92.90,91,239,168
2022-03-03 16:16:47.326911,27.16,100609.38,91.17,89,234,599
2022-03-03 16:16:51.102849,27.12,100606.19,91.62,90,236,1924
2022-03-03 16:16:54.878830,27.10,100607.66,92.64,89,238,1161
2022-03-03 16:16:58.653765,27.12,100606.97,92.76,91,238,1375
2022-03-03 16:17:02.431483,27.24,100606.77,91.55,90,235,833
2022-03-03 16:17:06.206926,27.32,100607.65,90.87,89,234,693
