time,temperature,pressure,humidity,fan,battery,mic
2022-03-08 13:32:49.878309,29.83,101045.48,78.70,90,203,11497
2022-03-08 13:32:53.365499,30.07,101041.86,74.04,90,192,6436
2022-03-08 13:32:57.136169,30.34,101044.46,89.73,91,231,18799
2022-03-08 13:33:00.921875,30.66,101045.91,95.14,91,244,25347
2022-03-08 13:33:04.687867,30.78,101051.38,96.73,88,248,26223
2022-03-08 13:33:08.461373,30.92,101045.48,97.14,89,249,6851
2022-03-08 13:33:12.258954,30.88,101043.66,97.58,92,250,17338
2022-03-08 13:33:16.040928,30.69,101044.41,97.87,88,251,29059
2022-03-08 13:33:19.821412,31.42,101046.67,98.13,89,252,13748
2022-03-08 13:33:23.584189,31.32,101044.26,98.13,88,252,18392
2022-03-08 13:33:27.360929,30.62,101046.23,96.34,89,247,38891
2022-03-08 13:33:31.144782,31.66,101042.80,97.83,90,251,21597
2022-03-08 13:33:34.926077,31.24,101043.98,98.22,91,252,31439
2022-03-08 13:33:38.699905,30.96,101048.47,98.40,88,252,36274
2022-03-08 13:33:42.478311,31.79,101045.59,98.60,89,253,19615
2022-03-08 13:33:46.244033,31.56,101044.74,98.56,90,253,12448
2022-03-08 13:33:50.020734,31.74,101041.45,98.62,91,253,12097
2022-03-08 13:33:53.796712,31.83,101042.99,98.76,90,253,39882
2022-03-08 13:33:57.583259,31.92,101045.59,98.68,90,253,22631
2022-03-08 13:34:01.346500,31.78,101044.23,98.57,89,253,38542
2022-03-08 13:34:05.130170,32.31,101047.25,98.81,91,253,14325
2022-03-08 13:34:08.914108,31.83,101043.08,98.73,89,253,24045
2022-03-08 13:34:12.691947,31.84,101043.90,98.71,91,253,29778
2022-03-08 13:34:16.467307,32.05,101040.09,98.86,91,254,32428
2022-03-08 13:34:20.236345,32.00,101046.66,98.87,89,254,13139
2022-03-08 13:34:24.013343,32.28,101050.22,99.02,88,254,29371
2022-03-08 13:34:27.782558,32.03,101041.75,98.95,90,254,21942
