time,temperature,pressure,humidity,fan,battery,mic
2022-03-08 14:02:50.926376,30.52,101017.68,83.93,90,216,2400
2022-03-08 14:02:52.771825,30.43,100977.03,82.54,90,213,31450
2022-03-08 14:02:56.538797,31.26,101010.97,85.40,90,220,19083
2022-03-08 14:03:00.313683,30.93,101018.77,94.27,88,242,11845
2022-03-08 14:03:04.091994,31.80,101013.53,96.74,89,248,10566
2022-03-08 14:03:07.871333,31.75,101015.88,97.16,89,249,9087
2022-03-08 14:03:11.645105,31.38,101010.36,96.98,90,249,15175
2022-03-08 14:03:15.431188,32.26,101021.55,97.90,89,251,26122
2022-03-08 14:03:19.207007,31.80,101017.52,97.31,91,250,13951
2022-03-08 14:03:22.971297,32.14,101013.39,98.11,89,252,14595
2022-03-08 14:03:26.747086,31.66,101015.41,97.85,90,251,12738
2022-03-08 14:03:30.528963,32.23,101011.58,98.15,89,252,14096
2022-03-08 14:03:34.312561,31.74,101013.66,97.79,91,251,23914
2022-03-08 14:03:38.081178,31.60,101021.80,98.24,91,252,16522
2022-03-08 14:03:41.855289,32.44,101020.13,98.39,89,252,15720
2022-03-08 14:03:45.632416,32.21,101017.38,98.09,91,252,12270
2022-03-08 14:03:49.405074,32.61,101022.77,98.57,90,253,10910
2022-03-08 14:03:53.194563,31.89,101016.25,97.90,89,251,27441
2022-03-08 14:03:56.968816,32.60,101019.34,98.44,90,253,18346
2022-03-08 14:04:00.737027,32.38,101030.16,98.23,89,252,16356
2022-03-08 14:04:04.510816,32.66,101019.02,98.71,88,253,17041
2022-03-08 14:04:08.297977,32.26,101019.20,97.99,91,251,21443
2022-03-08 14:04:12.076765,32.34,101021.27,97.52,89,250,27329
2022-03-08 14:04:15.844589,32.17,101030.06,98.42,91,253,20952
2022-03-08 14:04:19.618961,32.74,101023.10,98.63,88,253,14709
2022-03-08 14:04:23.396875,32.22,101016.50,98.57,92,253,13125
2022-03-08 14:04:27.177506,32.80,101022.23,98.74,89,253,11008
