time,temperature,pressure,humidity,fan,battery,mic
2022-03-08 14:05:25.642004,31.51,101010.45,83.94,91,216,1842
2022-03-08 14:05:27.603055,31.62,101018.61,82.11,89,212,3972
2022-03-08 14:05:31.369016,31.66,101017.29,79.56,90,205,2627
2022-03-08 14:05:35.149751,31.65,101014.16,78.32,92,202,3275
2022-03-08 14:05:38.919509,31.63,101019.52,77.62,89,201,4595
2022-03-08 14:05:42.705725,31.65,101013.42,77.22,91,200,4201
2022-03-08 14:05:46.477322,31.65,101013.30,77.42,88,200,8225
2022-03-08 14:05:50.260092,31.64,101014.89,77.46,89,200,4291
2022-03-08 14:05:54.025451,31.62,101015.73,78.05,91,202,4777
2022-03-08 14:05:57.811749,31.33,101035.43,73.59,89,190,36571
2022-03-08 14:06:01.580273,31.67,100988.86,86.06,90,222,6989
2022-03-08 14:06:05.369480,31.62,101013.95,79.50,91,205,9052
2022-03-08 14:06:09.141445,31.60,101009.94,80.23,89,207,7947
2022-03-08 14:06:12.914948,31.49,100982.64,81.66,90,211,13037
2022-03-08 14:06:16.694387,31.30,100987.87,80.38,91,207,7102
2022-03-08 14:06:20.473129,31.28,101025.20,77.94,89,201,15611
2022-03-08 14:06:24.249364,31.33,101024.42,74.78,91,193,10042
2022-03-08 14:06:28.014051,31.38,101021.79,74.11,89,192,6462
2022-03-08 14:06:31.799185,31.34,101024.73,73.11,89,189,13121
2022-03-08 14:06:35.579998,31.30,101027.23,71.27,91,185,13065
2022-03-08 14:06:39.356253,31.35,101022.42,76.80,90,198,16387
2022-03-08 14:06:43.130353,31.36,101020.77,77.91,90,201,14509
2022-03-08 14:06:46.905077,31.32,100978.84,77.75,91,201,23356
2022-03-08 14:06:50.678954,31.27,100978.60,80.53,90,208,13778
2022-03-08 14:06:54.461808,31.26,101002.84,80.29,91,207,23470
2022-03-08 14:06:58.238684,31.27,100975.55,80.16,90,207,32080
