time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 15:32:11.981874,30.84,101877.98,83.95,91,216,710
2022-03-09 15:32:14.919461,30.95,101875.09,77.20,89,199,838
2022-03-09 15:32:18.675737,30.94,101875.42,73.24,91,190,880
2022-03-09 15:32:22.455005,30.91,101876.42,72.17,90,187,605
2022-03-09 15:32:26.235048,30.89,101872.91,72.60,91,188,549
2022-03-09 15:32:30.019461,30.87,101870.89,70.71,89,183,831
2022-03-09 15:32:33.789195,30.85,101871.53,68.61,90,178,778
2022-03-09 15:32:37.564086,30.83,101870.36,63.59,91,165,777
2022-03-09 15:32:41.335110,30.72,101868.57,69.80,92,181,664
2022-03-09 15:32:45.115206,30.60,101867.01,69.66,89,181,721
2022-03-09 15:32:48.899966,30.65,101866.23,72.23,89,187,607
2022-03-09 15:32:52.675456,30.65,101861.39,73.58,90,190,499
2022-03-09 15:32:56.440680,30.68,101868.45,74.14,90,192,567
2022-03-09 15:33:00.214841,30.76,101871.02,74.39,90,192,768
2022-03-09 15:33:03.993049,30.68,101866.53,70.06,90,182,479
2022-03-09 15:33:07.764990,30.64,101867.11,70.95,91,184,634
2022-03-09 15:33:11.549765,30.64,101869.71,60.80,91,158,679
2022-03-09 15:33:15.327962,30.72,101871.36,58.73,92,153,588
2022-03-09 15:33:19.105054,30.79,101875.64,62.76,89,163,768
