time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 15:41:56.067619,31.67,101896.02,79.31,91,205,42618
2022-03-09 15:41:59.358103,31.92,101885.45,87.66,90,226,42008
2022-03-09 15:42:03.126593,32.22,101891.16,92.38,89,237,42157
2022-03-09 15:42:06.908549,32.48,101867.28,92.10,90,237,41755
2022-03-09 15:42:10.685042,32.42,101875.48,91.08,89,234,42373
2022-03-09 15:42:14.479019,32.02,101891.65,91.37,90,235,42248
2022-03-09 15:42:18.250757,31.65,101926.12,90.01,92,231,28778
2022-03-09 15:42:22.032057,31.77,101885.52,83.99,90,216,17669
2022-03-09 15:42:25.808304,31.85,101832.18,80.50,91,208,19545
2022-03-09 15:42:29.581158,31.45,101894.23,82.40,92,212,32285
2022-03-09 15:42:33.354114,31.25,101941.09,80.41,89,207,22538
2022-03-09 15:42:37.127665,31.58,101880.81,78.11,89,202,25686
2022-03-09 15:42:40.911110,31.43,101869.61,78.03,91,202,10493
2022-03-09 15:42:44.676117,31.19,101865.96,76.73,91,198,11592
2022-03-09 15:42:48.464700,30.91,101887.59,76.74,91,198,22209
2022-03-09 15:42:52.230400,30.89,101904.73,75.34,88,195,25992
2022-03-09 15:42:56.020624,31.02,101884.16,75.37,91,195,16982
2022-03-09 15:42:59.807510,31.21,101831.00,76.90,92,199,40690
2022-03-09 15:43:03.572550,30.84,101879.18,79.44,89,205,36669
2022-03-09 15:43:07.346579,30.75,101967.50,78.56,89,203,39965
2022-03-09 15:43:11.127535,30.97,101905.33,76.60,89,198,41007
2022-03-09 15:43:14.904964,31.18,101827.79,76.23,89,197,40634
2022-03-09 15:43:18.682057,30.76,101873.30,76.73,89,198,42461
2022-03-09 15:43:22.463855,30.64,101959.99,75.87,89,196,41423
2022-03-09 15:43:26.230752,30.96,101867.87,75.23,89,195,41117
2022-03-09 15:43:30.007840,30.87,101924.23,76.82,89,199,41650
2022-03-09 15:43:33.792857,30.56,101961.05,81.04,89,209,39727
2022-03-09 15:43:37.564558,30.96,101900.20,77.60,89,200,39440
2022-03-09 15:43:41.344338,30.48,101911.82,81.83,91,211,38482
2022-03-09 15:43:45.120397,30.48,101959.02,80.03,91,207,21506
2022-03-09 15:43:48.886894,30.86,101770.11,77.25,91,200,37150
2022-03-09 15:43:52.660741,30.35,101890.98,80.10,90,207,40007
