time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 15:53:38.109183,28.09,101907.72,60.92,90,159,2421
2022-03-09 15:53:41.729310,27.72,101915.66,74.76,91,193,1674
2022-03-09 15:53:45.513571,27.84,101922.09,75.29,89,195,2691
2022-03-09 15:53:49.289359,27.83,101925.12,72.01,91,187,4276
2022-03-09 15:53:53.058817,27.76,101925.23,78.19,89,202,5612
2022-03-09 15:53:56.833654,27.84,101922.48,77.59,91,200,1606
2022-03-09 15:54:00.617682,27.62,101920.00,73.61,91,191,9044
2022-03-09 15:54:04.388696,27.63,101891.28,72.40,89,187,23895
2022-03-09 15:54:08.168917,27.46,101899.60,81.01,91,209,20096
2022-03-09 15:54:11.944152,27.87,101884.75,82.66,90,213,18114
2022-03-09 15:54:15.723693,28.28,101893.23,81.01,89,209,8862
2022-03-09 15:54:19.493454,28.04,101909.49,79.20,90,204,4781
2022-03-09 15:54:23.269202,27.61,101913.44,74.82,90,194,12867
2022-03-09 15:54:27.049089,27.45,101902.04,76.63,89,198,9928
2022-03-09 15:54:30.822626,27.63,101902.56,76.63,90,198,3571
2022-03-09 15:54:34.589114,27.28,101890.74,61.39,90,160,4153
