time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 15:58:08.502776,27.83,101910.98,87.02,89,224,4246
2022-03-09 15:58:09.828327,27.85,101909.61,78.91,89,204,30117
2022-03-09 15:58:13.609092,27.84,101907.51,77.41,91,200,31329
2022-03-09 15:58:17.377528,27.78,101911.85,87.80,91,226,7202
2022-03-09 15:58:21.154485,27.72,101913.80,89.77,91,231,19381
2022-03-09 15:58:24.935405,27.78,101912.75,89.52,91,230,8326
2022-03-09 15:58:28.701330,27.94,101904.56,86.87,91,224,23511
2022-03-09 15:58:32.491292,28.04,101908.39,88.82,92,229,6077
2022-03-09 15:58:36.266420,28.20,101914.20,87.92,89,226,6787
2022-03-09 15:58:40.030948,28.67,101908.44,93.39,90,240,19877
2022-03-09 15:58:43.809996,28.92,101915.19,92.42,91,238,7146
2022-03-09 15:58:47.598259,28.38,101914.91,91.73,90,236,14876
2022-03-09 15:58:51.374859,28.34,101911.28,86.77,90,223,10580
2022-03-09 15:58:55.150603,28.34,101906.56,85.95,91,221,5991
2022-03-09 15:58:58.937493,28.75,101905.05,91.09,88,234,7629
2022-03-09 15:59:02.710161,28.58,101901.57,90.30,89,232,9865
2022-03-09 15:59:06.490749,28.55,101904.05,89.15,90,229,8028
2022-03-09 15:59:10.265592,28.38,101906.98,84.36,91,217,6717
2022-03-09 15:59:14.041516,28.58,101903.58,90.93,89,234,13172
2022-03-09 15:59:17.818161,28.57,101902.67,88.15,89,227,15331
2022-03-09 15:59:21.581740,28.53,101905.00,87.92,90,226,12877
2022-03-09 15:59:25.368389,28.87,101905.61,88.61,91,228,16827
2022-03-09 15:59:29.132596,28.77,101903.52,91.03,89,234,7663
2022-03-09 15:59:32.914746,28.70,101905.71,94.66,90,243,17451
2022-03-09 15:59:36.713526,28.76,101912.64,89.51,90,230,33442
2022-03-09 15:59:40.487890,28.95,101911.01,92.87,91,239,14214
2022-03-09 15:59:44.260714,28.55,101914.58,94.91,89,244,23268
2022-03-09 15:59:48.032237,29.22,101912.48,94.08,91,242,8540
2022-03-09 15:59:51.815826,28.94,101910.26,94.73,91,243,6460
2022-03-09 15:59:55.585036,29.58,101916.08,96.28,90,247,15338
