time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 16:07:48.996037,33.02,101867.92,84.77,92,218,1871
2022-03-09 16:07:49.301393,32.97,101880.27,85.17,89,219,1165
2022-03-09 16:07:53.075619,32.96,101889.06,83.77,91,216,728
2022-03-09 16:07:56.855210,32.94,101889.73,82.68,89,213,868
2022-03-09 16:08:00.624914,33.04,101879.99,81.15,90,209,789
2022-03-09 16:08:04.406582,33.06,101880.35,81.66,91,211,787
2022-03-09 16:08:08.179056,33.04,101905.30,78.38,89,202,752
2022-03-09 16:08:11.957981,33.03,101908.48,76.79,90,198,649
2022-03-09 16:08:15.726471,32.99,101916.31,72.18,92,187,691
2022-03-09 16:08:19.511623,32.97,101917.57,71.03,89,184,701
2022-03-09 16:08:23.279227,32.92,101926.42,72.13,91,187,725
2022-03-09 16:08:27.065026,32.95,101923.57,72.66,89,188,540
2022-03-09 16:08:30.839611,32.89,101924.89,73.29,90,190,771
2022-03-09 16:08:34.614170,32.88,101912.42,75.15,91,194,673
2022-03-09 16:08:38.381427,32.92,101901.97,81.29,89,210,930
2022-03-09 16:08:42.155900,32.93,101895.59,82.36,91,212,851
2022-03-09 16:08:45.938047,32.94,101889.29,80.20,89,207,689
