time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 16:09:21.057974,32.83,101880.14,76.63,91,198,16504
2022-03-09 16:09:23.701130,32.88,101906.17,80.10,89,207,7066
2022-03-09 16:09:27.481002,33.06,101959.61,79.91,92,206,11045
2022-03-09 16:09:31.250930,33.25,101825.11,84.79,90,218,18557
2022-03-09 16:09:35.032010,32.90,101910.10,86.90,89,224,4357
2022-03-09 16:09:38.805186,33.08,101928.30,83.05,91,214,7258
2022-03-09 16:09:42.578594,33.02,101795.73,83.56,91,215,4503
2022-03-09 16:09:46.358838,32.85,101992.33,79.24,90,205,6128
2022-03-09 16:09:50.130776,32.99,101810.03,79.91,91,206,8153
2022-03-09 16:09:53.909244,32.75,101966.27,80.70,89,208,24156
2022-03-09 16:09:57.683546,33.00,101815.92,81.30,90,210,6427
2022-03-09 16:10:01.461967,32.70,101991.95,81.78,91,211,7833
2022-03-09 16:10:05.234914,32.91,101821.79,81.06,89,209,5542
2022-03-09 16:10:09.014196,32.65,101955.16,81.48,91,210,5023
2022-03-09 16:10:12.782427,32.75,101906.86,78.05,89,202,6752
2022-03-09 16:10:16.555045,32.52,101974.50,78.04,90,202,7257
